IDENT_MEN;numbd;BNAT_PROD;BDCOD;NAT_PROD_A;NACHA_PROD;BDNEUF_PROD;BDCRED_PROD;BDLIEU_PROD;BDPRIX_PROD;BDPRIX_PRODRECUP;BDPRIX_PROD_D;BDOFFR_PROD;vag
00001;1;Aspirateur, nettoyeur vapeur, shampouineuse;109;;1;1;3;4;160;;160;;2
00001;2;Rasoir électrique, épilateur, tondeuse ou appareil pour soin du cheveu;120;;1;1;3;4;49;;49;;2
00001;3;Téléphone portable;215;;2;1;3;4;198;;198;3;2
00003;1;Réfrigérateur, réfrigérateur congélateur;101;;1;1;1;7;500;;500;;5
00003;2;Cuisinière, plaque de cuisson, four ou mini four;106;;1;1;3;3;60;;60;;5
00003;3;Téléviseur, combiné télé magnétoscope/DVD;201;;1;1;1;7;500;;500;;5
00004;1;Téléphone portable;215;;1;1;3;8;39;;39;1;6
00005;1;Lave-linge, lave-linge séchant;103;;1;1;3;6;239;;239;;5
00005;2;Autre périphérique informatique (clef USB, souris, clavier, enceintes...);221;1;6;1;3;4;50;;50;;5
00005;3;Baladeur, lecteur de CD/MP3 portable;233;;1;1;3;7;70;;70;;5
00005;4;MEUBLE SALLE DE BAIN;407;;;1;3;7;150;;150;;5
00005;5;ETAGERES;411;;;1;3;7;350;;350;;5
00006;1;Console de jeux vidéo de salon ou portable;206;;1;1;3;7;170;;170;;4
00006;2;Baladeur, lecteur de CD/MP3 portable;233;;1;1;3;7;80;;80;;4
00007;1;Console de jeux vidéo de salon ou portable;206;;2;2;3;10;350;;350;;3
00007;2;Téléphone portable;215;;1;1;3;3;300;;300;4;3
00008;1;Raclette, fondue, gauffre ou crèpière;114;;1;1;3;4;50;;50;;3
00008;2;Téléphone portable;215;;1;2;3;3;299;;299;4;3
00008;3;CHAISES;401;;;2;3;10;40;;40;;3
00008;4;LITS;405;;;1;3;4;300;;300;;3
00008;5;CAISSONS;405;;;1;3;7;60;;60;;3
00008;6;MATELAS;406;;;1;3;7;700;;700;;3
00008;7;MEUBLE SALLE DE BAIN;407;;;1;3;7;50;;50;;3
00008;8;ENSEMBLE DRESSING;407;;;1;3;7;90;;90;;3
00009;1;Téléphone portable;215;;1;1;3;3;500;;500;4;4
00009;2;Imprimante ou scanner;217;;1;1;3;3;60;;60;;4
00009;3;Cartouche d'imprimante;219;;2;1;3;3;999999;30;30;;4
00009;4;MATELAS + LIT;406;;;1;3;8;500;;500;;4
00010;1;Congélateur indépendant;102;;1;1;3;8;199;;199;;3
00010;2;Cartouche d'imprimante;219;;5;1;3;8;30;;30;;3
00011;1;Congélateur indépendant;102;;1;1;3;6;200;;200;;1
00012;1;Lave-linge, lave-linge séchant;103;;1;1;3;6;600;;600;;1
00013;1;Console de jeux vidéo de salon ou portable;206;;1;2;3;8;200;;200;;2
00013;2;Téléphone portable;215;;1;1;3;6;49;;49;4;2
00013;3;Baladeur, lecteur de CD/MP3 portable;233;;1;1;3;6;19;;19;;2
00013;4;Equipement de sport (raquettes, planche à voile, planche de surf, roller, trotinettes...);243;;1;1;3;7;70;;70;;2
00013;5;Pompe, système d'arrosage automatique;303;;1;1;3;7;45;;45;;2
00013;6;MATELAS;406;;;1;3;7;370;;370;;2
00014;1;Débroussailleuse, taille haie, broyeuse, tronçonneuse et autres appareils d'entretien du jardin;305;;1;1;3;7;150;;150;;3
00014;2;CUISINE INTEGREE;401;;;1;3;7;1500;;1500;;3
00014;3;TABLE BASSE;404;;;1;3;7;200;;200;;3
00014;4;CHAMBRE A COUCHER;405;;;1;3;7;900;;900;;3
00014;5;CABINE DOUCHE;407;;;1;3;7;900;;900;;3
00014;6;RAYONNAGE ETAGERE;411;;;1;3;7;300;;300;;3
00015;1;Téléphone portable;215;;1;1;3;4;59;;59;4;3
00017;1;Réfrigérateur, réfrigérateur congélateur;101;;1;1;3;8;999999;329;329;;5
00017;2;Lave-linge, lave-linge séchant;103;;1;1;3;8;999999;500;500;;5
00017;3;Téléphone portable;215;;1;1;3;8;20;;20;4;5
00018;1;Téléphone portable;215;;1;1;3;8;200;;200;3;2
00021;1;Téléphone portable;215;;1;1;3;3;159;;159;4;5
00021;2;Téléphone fixe;216;;1;1;3;4;25;;25;;5
00021;3;Equipement de sport (raquettes, planche à voile, planche de surf, roller, trotinettes...);243;;2;1;3;7;20;;20;;5
00022;1;Réfrigérateur, réfrigérateur congélateur;101;;1;1;3;8;700;;700;;6
00022;2;Micro-ordinateur de bureau;211;;1;1;3;4;399;;399;;6
00022;3;LIT;405;;;2;3;10;200;;200;;6
00023;1;Téléphone portable;215;;1;1;3;7;350;;350;3;6
00024;1;Téléviseur, combiné télé magnétoscope/DVD;201;;1;1;3;4;120;;120;;1
00024;2;Perceuse, visseuse, ponceuse, scie sauteuse, poste à souder, chalumeau et autres;306;;1;1;3;4;90;;90;;1
00025;1;Tablette PC;214;;1;1;3;7;500;;500;;1
00026;1;Console de jeux vidéo de salon ou portable;206;;1;1;3;7;300;;300;;5
00027;1;Cuisinière, gazinière, plaque de cuisson, four ou mini four;106;;1;1;3;99;220;;220;;6
00028;1;Congélateur indépendant;102;;1;1;3;7;399;;399;;5
00028;2;Cuisinière, plaque de cuisson, four ou mini four;106;;1;1;3;7;500;;500;;5
00028;3;Débroussailleuse, taille haie, broyeuse, tronçonneuse et autres appareils d'entretien du jardin;305;;1;1;3;7;79;;79;;5
00029;1;Réfrigérateur, réfrigérateur congélateur;101;;1;1;3;7;1000;;1000;;4
00029;2;Lave-linge, lave-linge séchant;103;;1;1;3;7;600;;600;;4
00029;3;Micro-ordinateur de bureau;211;;1;1;3;7;450;;450;;4
00029;4;Téléphone portable;215;;2;1;3;4;30;;30;1;4
00030;1;PIN;404;;;1;3;8;60;;60;;2
00031;1;Cuisinière, gazinière, plaque de cuisson, four ou mini four;106;;1;1;3;5;60;;60;;1
