DATE,I0111,I0112,I0113,I0114,I0115,I0116,I0117,I0118,I0119,I0121,I0122,I0211,I0212,I0213,I0220,I0221,I01,I02,I0131,I0241,I0411,I0412,I0451,I0452,I0453,I0454,I0455,I0450,I0311,I0312,I0313,I0314,I0321,I0322,I0431,I0432,I0441,I0442,I0443,I0444,I0511,I0512,I0513,I0520,I0531,I0532,I0533,I0540,I0551,I0552,I0561,I0562,I0611,I0612,I0613,I0621,I0622,I0623,I0711,I0712,I0713,I0721,I0722,I0723,I0724,I0731,I0732,I0733,I0734,I0735,I0736,I0810,I0820,I0830,I0911,I0912,I0913,I0914,I0915,I0921,I0922,I0923,I0931,I0932,I0933,I0934,I0935,I0941,I0942,I0943,I0951,I0952,I0953,I0954,I0960,I1020,I1040,I1111,I1112,I1120,I1211,I1212,I1213,I1231,I1232,I1240,I1252,I1253,I1254,I1262,I1270,I0521,I0541,I0571,I0811,I0812,I0813,I0961,I1012,I1013,I1121,I1241,I1261,I1271,I031,I071,I092,I094,I111,I123,I125,I0714,I1113,I1233,I1251,I1255,I03,I04,I05,I06,I07,I08,I09,I10,I11,I12,I0331,I0461,I0631,I0641,I0741,I0814,I0971,I1011,I1014,I1015,I1281,I1291
1990-01-01,66.11,63.28,67.52,77.89,65.65,60.79,69.62,73.53,74.53,69.67,72.29,67.91,58.58,64.5,19.08,19.08,68.31,34.14,68.31,34.14,55.65,55.65,70.4,41.68,46.91,58.42,37.97,56.04,82.9,88.59,77.74,61.09,79.3,47.62,59.41,48.26,35.29,,,44.46,71.6,66.36,46.71,70.31,154.48,121.8,,59.47,95.68,70.85,69.32,50.29,137,77.1,72.17,62.57,89.21,79.06,80.27,90.37,84.6,85.25,49.97,44.09,51.73,55.75,63.36,,,47.19,69.83,49.97,,164.27,953.09,1231.7,3598.27,161.58,53.44,78.9,74.57,76.757560733763,113.62,89.85,70.09,76.15,,46.56,60.38,54.89,65.5,59.39,57.49,62.88,59.52,56.8,52.29,53.45,55.89,44.59,58.21,159.35,65.86,53.47,75.56,,,,,60.93,56.75,70.31,59.47,69.32,49.97,,164.27,59.52,56.8,52.29,44.59,,60.93,56.75,83.5640551068884,81.05,76.757560733763,54.89,53.93,63.48,,81.05,53.93,63.48,,,84.47,52.79,73.38,91.66,57.15,158.94,100.89,54.28,51.74,59.78,84.47,52.79,91.66,91.66,57.15,158.94,100.89,54.28,54.28,54.28,59.78,59.78
1990-02-01,66.33,63.24,69.11,78.45,65.89,60.12,69.33,73.61,74.62,69.08,72.46,68.1,59.08,65.06,19.08,19.08,68.43,34.3,68.43,34.3,55.85,55.85,70.4,41.7,43.49,58.51,38.23,56.05,83.17,88.73,77.88,61.34,79.31,48.21,59.76,48.58,35.75,,,44.59,71.86,66.36,47.09,70.48,154.59,121.89,,59.7,95.84,71.05,69.41,50.67,137.17,77.42,72.72,62.57,89.21,79.06,80.51,90.88,85.19,85.38,50.34,44.33,51.99,55.75,63.74,,,47.24,69.93,50.48,,163.11,950,1233.28,3570.16,162.05,53.79,79.21,74.73,77.0352007932573,114.01,89.68,69.58,76.33,,46.75,60.51,55.04,65.55,59.53,57.7,63.32,59.81,56.85,52.29,53.93,56.17,44.82,58.51,159.24,66.15,53.5,75.74,,,,,61.34,56.73,70.48,59.7,69.41,50.48,,163.11,59.81,56.85,52.29,44.82,,61.34,56.73,83.6994128266033,81.3,77.0352007932573,55.04,54.36,63.56,,81.3,54.36,63.56,,,84.59,52.66,73.56,91.74,57.42,158.33,100.99,54.33,52.13,59.98,84.59,52.66,91.74,91.74,57.42,158.33,100.99,54.33,54.33,54.33,59.98,59.98
1990-03-01,66.58,63.21,65.65,78.89,66.02,60.8,69.54,73.64,74.66,68.16,72.74,68.44,59.82,65.37,19.08,19.08,68.35,34.52,68.35,34.52,56.06,56.06,70.4,41.71,42.42,58.64,38.23,56.055,83.75,88.95,78.19,61.58,79.5,48.46,60.02,48.71,36.07,,,44.74,72.32,66.61,47.29,73.43,154.67,122.18,,60.09,95.68,71.18,69.42,51.17,138.01,77.35,73.61,62.57,89.21,79.06,81.23,91.73,85.78,85.63,50.32,44.54,52.34,55.75,64.33,,,47.28,69.92,50.48,,163.11,947.69,1240.01,3573.41,162.06,54.28,79.94,75.01,77.66980664353,114.41,89.85,68.53,76.27,,46.79,60.72,55.19,65.9,59.72,57.92,63.49,59.83,56.91,52.29,54.27,56.41,45.04,58.67,159.65,66.49,53.52,76.04,,,,,61.34,57.04,73.43,60.09,69.42,50.48,,163.11,59.83,56.91,52.29,45.04,,61.34,57.04,83.931454631829,82.03,77.66980664353,55.19,54.68,63.65,,82.03,54.68,63.65,,,84.82,52.69,74.05,91.98,57.68,158.33,101.07,54.38,52.42,60.17,84.82,52.69,91.98,91.98,57.68,158.33,101.07,54.38,54.38,54.38,60.17,60.17
1990-04-01,66.79,63.32,66.08,78.89,66.04,61.31,78.17,73.75,74.92,67.41,73.32,68.71,60.38,65.28,19.08,19.08,69.25,34.68,69.25,34.68,56.31,56.31,70.82,41.72,41.22,58.65,38.23,56.27,84.18,89.29,78.49,61.88,79.78,48.8,60.24,48.92,36.34,,,44.93,72.67,66.92,47.36,73.84,154.78,122.66,,60.52,95.55,71.88,69.44,51.26,138.05,77.62,74.15,64.83,89.21,79.87,81.23,92.09,86.2,85.74,50.17,44.69,52.67,55.75,64.59,,,47.31,69.91,50.48,,163.11,944.37,1237.69,3568.66,161.57,54.58,80.19,74.94,77.8582052553297,114.98,90.07,67.28,76.62,,46.87,61.27,55.61,66.31,59.77,58.26,63.73,59.96,56.99,52.29,54.58,56.56,45.41,59.04,159.6,66.9,53.74,76.46,,,,,61.34,56.88,73.84,60.52,69.44,50.48,,163.11,59.96,56.99,52.29,45.41,,61.34,56.88,84.2505121140143,82.04,77.8582052553297,55.61,54.96,63.95,,82.04,54.96,63.95,,,85.15,52.8,74.33,93.08,57.71,158.33,101.15,54.45,52.72,60.46,85.15,52.8,93.08,93.08,57.71,158.33,101.15,54.45,54.45,54.45,60.46,60.46
1990-05-01,66.9,63.46,64.37,79,66.09,63.65,75.96,73.87,75.24,66.63,73.44,69.18,60.74,65.47,19.08,19.08,69.19,34.81,69.19,34.81,56.45,56.45,71.44,42.07,40.5,58.14,38.23,56.755,84.36,89.54,78.62,62.02,80.01,48.93,60.39,49.19,36.78,,,45.51,72.95,67.12,47.23,73.97,154.85,122.79,,60.74,95.84,72.02,69.53,51.36,138.08,77.67,74.59,64.95,89.21,79.92,81.23,92.18,86.28,85.86,49.89,44.77,52.97,56.47,64.92,,,47.37,70.4,50.48,,163.11,940.95,1238.7,3552.91,162.11,55,80.16,74.92,77.8284581060982,115.55,90.48,67.51,76.64,,47.04,61.26,55.64,66.73,59.92,58.5,64.08,60.01,57.07,52.29,54.76,56.64,45.79,59.23,159.71,67.2,53.65,76.66,,,,,61.34,56.86,73.97,60.74,69.53,50.48,,163.11,60.01,57.07,52.29,45.79,,61.34,56.86,84.4825539192399,82.05,77.8284581060982,55.64,55.12,63.94,,82.05,55.12,63.94,,,85.38,52.99,74.51,93.17,57.72,158.33,101.34,54.53,52.94,60.59,85.38,52.99,93.17,93.17,57.72,158.33,101.34,54.53,54.53,54.53,60.59,60.59
1990-06-01,66.99,63.69,64.64,78.93,66.01,63.26,68.46,74.02,75.45,66.11,73.7,69.32,61.13,65.56,19.08,19.08,68.61,34.92,68.61,34.92,56.6,56.6,71.44,42.3,38.89,58.1,38.23,56.87,84.7,89.66,78.76,62.22,80.15,49.08,60.66,49.5,36.82,,,45.79,73.1,67.39,47.25,74.27,154.88,123.06,,61.02,96.09,72.21,69.88,51.5,138.08,77.24,74.82,65.08,89.21,79.96,81.23,92.16,86.79,86.06,49.74,44.99,53.29,57.37,65.34,,,47.43,71.02,50.48,,163.11,937.7,1238.98,3522.57,161.9,55.76,80.33,75.13,77.9970252850769,116.14,90.74,67.75,76.94,,47.04,61.34,55.7,66.91,60.04,58.69,64.25,60.43,57.07,52.29,55.18,56.72,46.11,59.52,159.51,67.29,53.52,76.75,,,,,62.6,56.92,74.27,61.02,69.88,50.48,,163.11,60.43,57.07,52.29,46.11,,62.6,56.92,84.6082432304038,82.05,77.9970252850769,55.7,55.46,63.86,,82.05,55.46,63.86,,,85.51,52.97,74.72,93.24,57.83,158.33,101.52,54.53,53.27,60.76,85.51,52.97,93.24,93.24,57.83,158.33,101.52,54.53,54.53,54.53,60.76,60.76
1990-07-01,67.13,63.84,65.76,79.13,66,61.97,61.56,74.02,75.62,65.48,73.81,69.55,61.45,65.52,19.08,19.08,68.07,35.01,68.07,35.01,56.63,56.63,71.44,42.24,38.44,58.09,38.23,56.84,84.71,89.7,78.89,62.42,80.29,49.23,60.77,49.79,37.2,,,45.89,73.15,67.47,47.13,74.36,154.69,123.2,,61.12,96.22,72.72,70.02,51.63,138.09,76.99,75.06,65.08,89.21,79.96,82.27,92.4,87.71,86.44,49.91,45.34,53.37,57.37,65.5,,,47.45,72.24,50.48,,163.11,935.59,1237.88,3515.7,161.74,55.81,80.51,75.1,78.135845314824,116.28,90.8,65.7,77.04,,46.99,61.4,55.72,67.18,60.2,59.53,64.18,61.14,57.18,52.74,55.4,56.75,46.57,59.83,159.56,67.37,53.38,76.84,,,,,62.71,56.99,74.36,61.12,70.02,50.48,,163.11,61.14,57.18,52.74,46.57,,62.71,56.99,84.6565852731592,83.09,78.135845314824,55.72,55.64,63.78,,83.09,55.64,63.78,,,85.58,52.99,74.8,93.25,58.23,158.33,101.4,54.66,53.52,60.85,85.58,52.99,93.25,93.25,58.23,158.33,101.4,54.66,54.66,54.66,60.85,60.85
1990-08-01,67.33,64.03,65.41,79.16,66,64.32,63.98,74.08,75.57,65.16,73.89,69.65,61.7,65.43,19.08,19.08,68.53,35.08,68.53,35.08,56.79,56.79,71.44,42.32,45.6,58.14,38.23,56.88,84.78,89.82,79.06,62.49,80.46,49.25,60.9,49.89,37.24,,,46.15,73.31,67.36,47.17,74.46,154.69,123.43,,61.48,96.48,72.92,70.09,51.69,138.11,77.36,75.11,65.08,89.21,79.96,82.51,92.37,88.05,86.51,52.95,45.43,53.12,57.37,65.54,,,49.25,72.86,50.48,,163.11,932.65,1233.87,3463.36,161.72,55.88,80.24,75.58,78.0168567178979,116.46,90.93,64.37,77.05,,47.17,61.41,55.78,67.43,60.36,59.89,63.99,61.3,57.24,52.74,55.49,56.92,46.94,59.96,159.89,67.44,53.43,77.08,,,,,62.88,57.45,74.46,61.48,70.09,50.48,,163.11,61.3,57.24,52.74,46.94,,62.88,57.45,84.7822745843231,83.32,78.0168567178979,55.78,55.76,63.88,,83.32,55.76,63.88,,,85.71,53.71,74.94,93.26,59.27,158.33,101.29,54.71,53.69,60.98,85.71,53.71,93.26,93.26,59.27,158.33,101.29,54.71,54.71,54.71,60.98,60.98
1990-09-01,67.63,64.16,65.97,78.97,65.97,63.5,69.23,74.12,75.58,64.75,73.94,69.77,61.99,65.22,19.08,19.08,69.02,35.16,69.02,35.16,56.94,56.94,71.44,43.07,50.15,58.44,38.23,57.255,85.02,90.24,79.24,62.78,80.58,49.48,60.87,50.17,37.3,,,46.14,73.42,67.4,47.33,74.7,154.8,123.64,,61.4,96.32,73.17,69.99,51.93,138.15,77.32,75.29,64.76,89.21,79.85,81.31,92.5,88.39,86.87,57.11,45.53,53.73,57.37,65.72,,,49.27,72.98,50.48,,163.11,931.2,1231.55,3405.69,161.79,56.1,79.58,75.75,77.5111551809618,116.63,91.19,65.8,76.92,,47.48,61.73,56.09,67.5,60.62,60.21,63.77,61.38,58.27,52.74,55.83,57.13,47.14,60.26,160.6,67.53,53.5,77.09,,,,,63.28,57.51,74.7,61.4,69.99,50.48,,163.11,61.38,58.27,52.74,47.14,,63.28,57.51,85.1496741092637,82.16,77.5111551809618,56.09,56.06,63.94,,82.16,56.06,63.94,,,86.05,54.29,75,93.14,60.36,158.33,101.64,55.62,53.97,61.13,86.05,54.29,93.14,93.14,60.36,158.33,101.64,55.62,55.62,55.62,61.13,61.13
1990-10-01,67.91,64.15,66.09,79.01,66.03,62.9,69.33,74.28,75.75,64.33,74.09,69.94,62.27,65.2,19.08,19.08,69.04,35.24,69.04,35.24,57.4,57.4,71.44,43.81,56.51,59.33,39.36,57.625,85.35,90.77,79.7,63.14,81.15,49.54,61.08,50.32,37.33,,,46.13,73.59,67.6,47.39,75.12,154.86,124.05,,61.61,95.71,73.52,70.34,52.11,138.19,77.82,75.54,65.27,89.21,80.03,80.59,92.63,88.64,87.03,57.72,45.81,54.06,57.37,65.8,,,49.27,72.25,50.48,,163.11,927.69,1226.1,3386.72,161.21,56.24,79.76,75.98,77.6995537927615,116.89,91.35,66.58,76.62,,47.93,62.07,56.45,67.53,60.64,60.66,64.5,61.57,59.32,53.79,56.06,57.59,47.23,60.59,161.53,67.74,53.44,77.35,,,,,63.91,57.45,75.12,61.61,70.34,50.48,,163.11,61.57,59.32,53.79,47.23,,63.91,57.45,85.6427629453682,81.47,77.6995537927615,56.45,56.35,63.97,,81.47,56.35,63.97,,,86.56,55.18,75.22,93.4,60.51,158.33,101.91,56.63,54.21,61.32,86.56,55.18,93.4,93.4,60.51,158.33,101.91,56.63,56.63,56.63,61.32,61.32
