IDENT_MEN;VAG;NBVAC;NUMSEJ;Paysej;SITUSJ1;SITUSJ2;SITUSJ3;SITUSJ4;SITUSJ5;Motifsej;QUISEJ01;QUISEJ02;QUISEJ03;QUISEJ04;QUISEJ05;QUISEJ06;QUISEJ07;QUISEJ08;QUISEJ09;QUISEJ10;QUISEJ11;QUISEJ12;QUISEJ13;QUISEJ14;QUISEJ15;QUISEJ16;QUISEJ17;QUISEJ18;QUISEJ19;QUISEJ20;Dursej;Forfait;TYPFORF1;TYPFORF2;TYPFORF3;TYPFORF4;TYPFORF5;TYPFORF6;TYPFORF7;TYPFORF8;Preforf;Mforfait;Trforf;Trans;Mtrans;Trtrans;Heber;Mheber;Trheber;Repas;Mrepas;Trrepas;Alimdo;Malimdo;Tralimdo;Lois;Mlois;Trlois;Aut;Natsej;Maut;Traut;TRSEJOUR;MALIMDO_D;MAUT_D;MFORFAIT_D;MHEBER_D;MLOIS_D;MREPAS_D;MTRANS_D;TRSEJOUR_D
00001;2;1;1;1;1;0;0;0;0;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;2;0;0;0;0;0;0;0;0;;;;1;100;;2;;;2;;;1;300;;2;;;2;;;;;300;;;;;;100;
00004;6;1;1;1;0;1;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;;;;1;110;;2;;;2;;;1;50;;2;;;2;;;;;50;;;;;;110;
00005;5;2;1;3;0;0;0;1;0;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;;;;1;220;;1;240;;1;100;;2;;;1;200;;1;SOUVENIRS;100;;;;100;;240;200;100;220;
00005;5;2;2;1;1;0;0;0;0;5;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;10;;;;;;;;1880
00006;4;2;1;1;1;0;0;0;0;5;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;;;;1;110;;1;380;;1;240;;1;130;;2;;;2;;;;;130;;;380;;240;110;
00006;4;2;2;1;1;0;0;0;0;5;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;8;;;;;;;;730
00007;3;1;1;3;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;2;0;0;0;0;0;0;0;0;;;;1;40;;1;200;;1;999999;1;1;999999;1;1;999999;1;1;CADEAU A LA FAMILLE;20;;;50;20;;200;30;50;40;
00009;4;1;1;3;1;1;1;1;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;2;0;0;0;0;0;0;0;0;;;;1;3000;;1;600;;1;999999;7;1;999999;4;1;999999;3;1;CADEAUX;999999;5;;370;220;;600;220;1400;3000;
00012;1;1;1;3;0;1;0;0;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;2;0;0;0;0;0;0;0;0;;;;1;200;;2;;;1;100;;1;100;;2;;;2;;;;;100;;;;;100;200;
00013;2;1;1;3;1;0;0;0;0;5;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;2;0;0;0;0;0;0;0;0;;;;1;150;;2;;;1;250;;1;600;;2;;;1;TONGS ET CASQUETTES;50;;;600;50;;;;250;150;
