IDENT_MEN;A0111;A0112;A0113;A0114;A0115;A0116;A0117;A0118;A0119;A0121;A0122;A0211;A0212;A0213
00001;0;0;0;0;0;0;1037;51;0;0;0;0;0;0
00004;0;1904;0;178;0;2170;1408;32;0;0;0;0;620;0
00013;0;0;0;148;0;0;533;63;0;0;0;0;0;0
00020;0;0;0;104;0;242;760;51;0;0;0;0;0;0
00022;0;0;0;0;0;1873;1137;0;0;0;0;0;0;0
00028;0;0;0;0;0;0;0;62;0;0;0;0;0;0
00030;0;4596;2361;227;0;575;1303;0;0;0;0;0;0;0
00031;0;0;0;0;0;84;546;0;0;0;0;0;0;0
00034;0;0;0;0;0;0;263;0;0;0;0;0;0;0
00040;0;0;0;0;0;363;191;0;0;0;0;0;0;0
00042;0;0;0;0;0;407;0;0;0;0;0;0;0;0
00043;0;0;0;0;0;0;603;25;0;0;0;0;0;0
00049;0;0;2372;0;0;0;0;0;0;0;0;0;0;0
00052;0;0;0;0;0;2062;0;0;0;0;0;0;0;0
00053;0;0;0;89;0;2423;321;0;0;0;0;0;0;0
00058;0;0;0;0;0;0;382;0;0;0;0;0;0;0
00059;0;494;395;119;0;925;464;0;0;0;0;0;0;0
00061;0;0;0;0;0;0;607;0;0;0;0;0;0;0
00068;0;0;0;178;0;0;0;0;0;0;0;0;0;0
00073;0;0;0;0;0;0;349;0;0;0;0;0;0;0
00074;0;0;0;104;0;274;0;126;0;0;0;0;0;0
00082;0;0;0;0;0;0;0;668;0;0;0;0;0;0
00084;0;940;0;0;0;0;0;0;0;0;0;0;0;0
00087;0;0;0;0;0;441;664;505;0;0;0;0;0;0
00089;0;932;0;74;0;670;0;0;0;0;0;0;0;0
00092;0;0;0;0;0;0;0;63;0;0;0;0;0;0
00094;0;1928;0;0;0;0;0;0;0;0;0;0;0;0
00097;0;0;0;0;0;1;0;0;0;0;0;0;0;0
00099;0;0;0;89;0;0;0;0;0;0;0;0;0;0
00110;0;0;0;0;0;0;19;0;0;0;0;0;0;0
00111;0;0;0;0;0;1542;0;0;0;0;0;0;0;0
00121;0;634;0;178;0;792;0;0;0;0;0;0;0;0
00133;0;0;0;0;0;0;331;0;0;0;0;0;0;0
00142;0;0;0;0;0;0;153;51;0;0;0;0;0;0
00152;0;0;0;0;0;199;5129;0;0;0;0;0;0;0
00155;0;0;0;89;0;0;0;0;0;0;0;0;0;0
00156;0;0;0;0;0;4118;0;0;0;0;0;0;0;0
00160;0;0;0;178;0;160;554;0;0;0;0;0;0;0
00162;0;0;0;178;0;0;1181;15807;155;0;0;0;0;0
00173;0;0;0;0;0;0;1086;0;0;0;0;0;0;0
00177;0;0;0;0;0;799;1026;0;0;0;0;0;0;0
00178;0;0;0;0;0;400;512;0;0;0;0;0;0;0
00179;0;0;0;0;0;0;130;0;0;0;0;0;0;0
00180;0;0;0;0;0;1917;0;0;0;0;0;0;0;0
00181;0;0;0;0;0;0;0;155;0;0;0;0;0;0
00185;0;643;0;30;0;242;239;0;0;0;0;0;0;0
00190;0;2921;0;148;0;1182;788;0;0;0;0;0;0;0
00197;0;0;0;0;0;1220;3738;0;0;0;0;0;0;0
00203;0;0;0;0;0;674;870;0;0;0;0;0;0;0
00205;0;0;0;0;0;0;955;0;0;0;0;0;0;0
00207;0;0;0;89;0;0;802;0;0;0;0;0;0;0
00211;0;0;0;0;0;3435;0;0;0;0;0;0;0;0
00212;0;0;0;0;0;4797;218;51;0;0;0;0;0;0
00216;0;0;0;0;0;125;1389;0;0;0;0;0;0;0
00223;0;412;0;0;0;0;410;0;0;0;0;0;0;0
00226;0;0;0;0;0;978;0;0;0;0;0;0;0;0
00233;0;0;0;0;0;0;813;0;0;0;0;0;0;0
00239;0;2695;0;0;0;0;443;0;0;0;0;0;0;0
00243;0;0;0;0;0;0;87;0;0;0;0;0;0;0
00246;0;0;0;0;0;0;410;0;0;0;0;0;0;0
00249;0;0;0;148;0;606;1656;0;0;0;0;0;0;0
00252;0;0;0;45;0;3619;0;0;0;0;0;0;0;0
00264;0;0;0;0;0;0;2838;51;0;0;0;0;0;0
00270;0;0;0;0;0;0;401;0;0;0;0;0;0;0
00271;0;0;0;0;0;0;305;0;0;0;0;0;0;0
00272;0;940;0;0;0;3031;327;0;0;0;0;0;0;0
00276;0;0;0;89;0;0;0;0;0;0;0;0;0;0
00281;0;0;0;556;0;0;153;0;0;0;0;0;0;0
00283;0;0;0;0;0;0;0;0;15;0;0;0;0;0
00286;0;0;0;0;0;541;925;0;0;0;0;0;0;0
00288;0;0;0;0;0;186;4156;0;0;0;0;0;0;0
00289;0;0;0;0;0;0;289;0;0;0;0;0;0;0
00292;0;0;0;0;0;61;256;0;0;0;0;0;0;0
00295;0;1429;0;89;0;0;477;0;0;0;0;0;0;0
00297;0;0;0;0;0;0;1357;0;0;0;0;0;0;0
00299;0;1041;0;115;0;737;1161;0;0;0;0;0;0;0
