IDENT_MEN;VAG;NUMORDREABO;NB_ABONN;TYP_ABONN01;TYP_ABONN02;TYP_ABONN03;TYP_ABONN04;TYP_ABONN05;TYP_ABONN06;TYP_ABONN07;TYP_ABONN08;TYP_ABONN09;TYP_ABONN10;Nataudio;Proaudio;Msabonn;Msfacture;Msfactper;Abofixe;Cartemobile;Mcartemobile;Percartemobile;MSFACTPER_D;MSFACTURE_D;MCARTEMOBILE_D;PERCARTEMOBILE_D;MIMPUTINTERNET_D
00001;2;1;2;0;1;0;0;0;0;0;0;0;0;;1;5;5;1;;2;;;12;5;;;
00001;2;2;2;0;1;0;0;0;0;0;0;0;0;;2;5;5;1;;2;;;12;5;;;
00002;6;1;1;1;1;0;1;0;0;0;0;0;0;;1;57;57;1;;2;;;12;58;;;
00003;5;1;5;1;0;1;1;0;0;0;0;0;0;;;40;55;1;;2;;;12;55;;;
00003;5;2;5;0;1;0;0;0;1;0;0;0;0;;2;22;22;1;;2;;;12;22;;;
00003;5;3;5;0;1;0;0;0;1;0;0;0;0;;1;20;20;1;;2;;;12;20;;;
00003;5;4;5;0;1;0;0;0;1;0;0;0;0;;3;5;5;1;;2;;;12;5;;;
00003;5;5;5;0;1;0;0;0;1;0;0;0;0;;4;13;13;1;;2;;;12;13;;;
00004;6;1;2;1;0;0;0;0;0;0;0;0;0;;;29;30;1;;2;;;12;30;;;
00004;6;2;2;0;1;0;0;0;0;0;0;0;0;;1;10;10;1;;2;;;12;10;;;
00005;5;1;3;0;0;1;1;0;0;0;0;0;0;;;60;60;1;;2;;;12;60;;;
00005;5;2;3;0;1;0;0;0;1;1;1;1;0;;2;50;50;1;;2;;;12;50;;;
00005;5;3;3;0;1;0;0;0;1;0;0;0;0;;3;30;30;1;;2;;;12;30;;;
00006;4;1;2;1;1;0;0;1;0;0;0;0;0;;1;30;30;1;;2;;;12;30;;;
00006;4;2;2;1;1;0;0;1;0;0;0;0;0;;2;20;20;1;;2;;;12;20;;;
00007;3;1;2;0;1;0;0;0;0;0;0;0;0;;1;20;20;1;;2;;;12;20;;;
00007;3;2;2;0;0;0;1;0;0;0;0;0;0;;;6;6;1;;2;;;12;6;;;
00008;3;1;3;1;0;1;1;0;0;0;0;0;0;;;20;26;1;;2;;;12;26;;;
00008;3;2;3;0;1;0;0;0;0;0;0;0;0;;1;10;10;1;;2;;;12;10;;;
