IDENT_MEN;VAG;NBVEHIC;MARQUE;CARBU1;CARBU2;CARBU3;CARBU4;CARBU5;Anvoi;EXPVOI1;EXPVOI2;EXPVOI3;EXPVOI4;Provoi;Protrav;Km_Auto;Repar_auto;Fraisvoi;Persvoi;Quivoi;Apvoi;Gravoi;Recvoi;Moisvoi;Lieuvoi;Acqvoi;Crevoi;Empvoi;Apervoi;Mcrevoi;Ancvoi;Repvoi;Privoi;MARQUE_D;NUMVEHIC;FRAISVOI_D;REPAR_AUTO_D;MCREVOI_D;PRIVOI_D;REPVOI_D
00001;2;2;EXPRESS;1;0;0;0;0;1992;0;0;1;0;;;;0;0;1;1;3;;2012;;;;;;;;;;;RENAULT EXPRESS;1;;;;;
00001;2;2;MEGANE;0;1;0;0;0;2011;0;0;1;0;;;;0;0;1;2;3;;2013;;;;;;;;;;;RENAULT MEGANE;2;;;;;
00002;6;1;FIAT BRAVA;0;1;0;0;0;2001;0;0;1;0;;;;80;120;1;1;3;;2002;;;;;;;;;;;FIAT BRAVA;1;120;80;;;
00003;5;1;LAGUNA;0;1;0;0;0;2002;0;0;1;0;;;;0;66;1;2;3;;2015;;;;;;;;;;;RENAULT LAGUNA;1;66;;;;
00004;6;1;PEUGEOT 208;1;0;0;0;0;2015;0;0;1;0;;;;0;231;3;;3;;2015;;;;;;;;;;;PEUGEOT 208;1;231;;;;
00005;5;1;RENAULT SCENIC;0;1;0;0;0;2013;1;0;1;0;;30;100;0;865;1;1;3;;2015;;;;;;;;;;;RENAULT SCENIC;1;865;;;;
00006;4;2;PEUGEOT 206;1;0;0;0;0;2004;1;0;0;0;;100;80;0;80;1;1;4;;;;;;;;;;;;;PEUGEOT 206;1;80;;;;
00006;4;2;RENAULT KADJAR;0;1;0;0;0;2016;1;0;1;0;;50;130;0;0;1;2;3;;2016;10;2;1;3;0;15000;;1;7000;22000;RENAULT KADJAR;2;;;;22000;7000
00008;3;2;DACIA LODGY;0;1;0;0;0;2014;1;0;1;0;;80;420;0;565;1;2;3;;2014;;;;;;;;;;;DACIA;1;565;;;;
00008;3;2;FORD FIESTA;1;0;0;0;0;2012;1;0;1;0;;80;100;0;165;1;1;3;;2012;;;;;;;;;;;FORD FIESTA;2;165;;;;
00009;4;1;SKODA;0;1;0;0;0;2000;1;1;1;0;0;70;118;400;999999;1;2;3;;2008;;;;;;;;;;;SKODA - NON SPECIFIE;1;452;400;;;
00010;3;1;RENAULT CLIO;0;1;0;0;0;2014;1;0;1;0;;0;500;0;0;1;1;3;;2014;;;;;;;;;;;RENAULT CLIO;1;;;;;
00012;1;1;TOYOTA;1;0;0;0;0;2013;1;1;1;0;0;70;50;0;0;1;2;3;;2013;;;;;;;;;;;TOYOTA - NON SPECIFIE;1;;;;;
00013;2;2;CITROEN C15;0;1;0;0;0;2005;1;0;1;0;;80;180;0;0;1;2;3;;2014;;;;;;;;;;;CITROEN C15;1;;;;;
00013;2;2;DACIA DUSTER;0;1;0;0;0;2015;1;1;1;0;15;65;160;0;259;1;1;1;;2016;6;2;2;3;;0;1813;2;500;999999;DACIA DUSTER;2;259;;1813;16200;500
00014;3;1;FORD ESCORT;0;1;0;0;0;1996;1;0;1;0;;0;14;0;0;1;1;3;;2008;;;;;;;;;;;FORD ESCORT;1;;;;;
00016;4;2;RENAULT;0;1;0;0;0;2007;0;0;1;0;;;;0;0;1;2;3;;2007;;;;;;;;;;;RENAULT - NON SPECIFIE;1;;;;;
00016;4;2;RENAULT;0;1;0;0;0;2009;0;0;1;0;;;;0;0;1;1;3;;2011;;;;;;;;;;;RENAULT - NON SPECIFIE;2;;;;;
00017;5;1;RENAULT TWINGO;1;0;0;0;0;2009;0;0;1;0;;;;625;0;3;;3;;2009;;;;;;;;;;;RENAULT TWINGO;1;;625;;;
00018;2;1;LANCIA ZETA;0;1;0;0;0;1998;0;0;1;0;;;;0;0;1;1;3;;2008;;;;;;;;;;;LANCIA;1;;;;;
00020;3;2;RENAULT 5;1;0;0;0;0;1992;0;0;1;0;;;;0;0;1;1;3;;2003;;;;;;;;;;;RENAULT 5;1;;;;;
00020;3;2;RENAULT LAGUNA;0;1;0;0;0;2013;0;0;1;0;;;;0;0;1;1;3;;2015;;;;;;;;;;;RENAULT LAGUNA;2;;;;;
00022;6;2;SSANGYONG;0;1;0;0;0;2014;0;0;1;0;;;;0;0;1;1;3;;2014;;;;;;;;;;;SSANGYONG;1;;;;;
00022;6;2;TOYOTA;1;0;0;0;0;2000;1;0;1;0;;80;80;0;0;1;2;3;;2000;;;;;;;;;;;TOYOTA - NON SPECIFIE;2;;;;;
00023;6;1;RENAUL TWINGO;1;0;0;0;0;2012;1;0;1;0;;0;20;0;65;1;2;2;2;;;;;;;;;;;;RENAULT TWINGO;1;65;;;;
00024;1;2;CITROEN EVASION;0;1;0;0;0;1998;1;0;1;0;;45;160;0;180;1;1;3;;2012;;;;;;;;;;;CITROEN EVASION;1;180;;;;
00024;1;2;PEUGEOT EXPERT;0;1;0;0;0;2000;1;0;1;0;;45;160;0;0;1;1;3;;2016;1;3;2;1;8000;0;3240;5;0;8000;PEUGEOT EXPERT;2;;;3240;8000;0
00025;1;1;TIGUAN VW;0;1;0;0;0;2009;0;0;1;0;;;;0;70;3;;3;;2009;;;;;;;;;;;VOLKSWAGEN TIGUAN;1;70;;;;
00028;5;2;RENAULT CLIO;1;0;0;0;0;1999;0;0;1;0;;;;471;0;1;2;3;;1999;;;;;;;;;;;RENAULT CLIO;1;;471;;;
00028;5;2;RENAULT NEVADA;0;1;0;0;0;1989;0;0;1;0;;;;666;0;1;1;3;;1989;;;;;;;;;;;RENAULT 21;2;;666;;;
00029;4;1;PEUGEOT;1;0;0;0;0;2017;0;0;1;0;;;;0;0;1;2;3;;2017;1;2;1;3;0;20000;;1;7000;27000;PEUGEOT - NON SPECIFIE;1;;;;27000;7000
00030;2;2;OPEL;0;1;0;0;0;2006;1;0;0;0;;50;20;300;0;1;1;1;;2006;;;;;;;;;;;OPEL - NON SPECIFIE;1;;300;;;
00030;2;2;YARIS;1;0;0;0;0;2013;1;0;0;0;;50;20;0;0;1;2;1;;2013;;;;;;;;;;;TOYOTA YARIS;2;;;;;
00032;1;1;FIAT BRAVO;0;1;0;0;0;2010;1;0;1;0;;10;130;0;237;1;2;3;;2010;;;;;;;;;;;FIAT BRAVO;1;237;;;;
00033;6;1;RENAULT;1;0;0;0;0;2010;0;0;1;0;;;;0;0;1;1;3;;2010;;;;;;;;;;;RENAULT - NON SPECIFIE;1;;;;;
00034;3;2;206;0;1;0;0;0;2000;1;0;0;0;;90;400;0;70;1;1;3;;2011;;;;;;;;;;;PEUGEOT 206;1;70;;;;
00034;3;2;COROLLA;0;1;0;0;0;1996;1;0;0;0;;100;150;0;117;1;2;3;;2008;;;;;;;;;;;TOYOTA COROLLA;2;117;;;;
00035;2;1;CLIO;0;1;0;0;0;2004;0;0;1;0;;;;999999;999999;1;3;3;;2012;;;;;;;;;;;RENAULT CLIO;1;50;680;;;
00038;1;2;MEGANE;0;1;0;0;0;2011;1;0;1;0;;50;50;0;0;1;1;3;;2011;;;;;;;;;;;RENAULT MEGANE;1;;;;;
00038;1;2;SEAT IBIZA;0;1;0;0;0;1997;0;0;1;0;;;;0;0;1;2;3;;1997;;;;;;;;;;;SEAT IBIZA;2;;;;;
00039;1;1;FORD FOCUS;1;0;0;0;0;2015;0;0;1;0;;;;0;0;1;1;3;;2015;3;;;;;;;;;;FORD FOCUS;1;;;;;
00042;6;2;MERCEDES C200;1;0;0;0;0;1997;1;1;1;0;20;80;99999;0;0;1;2;4;;;;;;;;;;;;;MERCEDES CLASSE C;1;;;;;
00042;6;2;RENAULT CLIO;1;0;0;0;0;2002;1;1;1;0;10;80;99999;0;0;1;1;3;;2002;;;;;;;;;;;RENAULT CLIO;2;;;;;
00043;1;1;208 PEUGEOT;0;1;0;0;0;2015;0;0;1;0;;;;0;0;1;1;3;;2015;2;;;;;;;;;;PEUGEOT 208;1;;;;;
00044;5;2;LEXUS TOYOTA;1;0;0;0;0;2014;0;0;1;0;;;;0;0;1;1;3;;2014;;;;;;;;;;;LEXUS;1;;;;;
00044;5;2;RENAULT MODUS;1;0;0;0;0;2008;0;0;1;0;;;;0;0;1;2;3;;2008;;;;;;;;;;;RENAULT MODUS;2;;;;;
00045;3;1;PEUGEOT 307 SW;0;1;0;0;0;2002;1;0;1;0;;30;150;0;0;1;1;3;;2007;;;;;;;;;;;PEUGEOT 307;1;;;;;
00046;3;2;AUDI;1;0;0;0;0;2011;1;1;1;0;95;5;400;0;0;3;;3;;2011;;;;;;;;;;;AUDI - NON SPECIFIE;1;;;;;
00046;3;2;AUDI;0;1;0;0;0;1998;1;1;1;0;95;5;550;0;0;3;;3;;1998;;;;;;;;;;;AUDI - NON SPECIFIE;2;;;;;
00048;3;1;NISSAN MICRA;1;0;0;0;0;2011;1;0;1;0;;30;82;0;0;1;1;3;;2011;;;;;;;;;;;NISSAN MICRA;1;;;;;
00050;1;1;FIAT;0;1;0;0;0;1996;0;0;1;0;;;;200;0;1;1;3;;2015;;;;;;;;;;;FIAT - NON SPECIFIE;1;;200;;;
00051;1;1;AUDI;0;1;0;0;0;2006;0;0;1;0;;;;0;120;1;1;3;;2015;7;;;;;;;;;;AUDI - NON SPECIFIE;1;120;;;;
00053;4;2;BERLINGO;0;1;0;0;0;2001;0;0;1;0;;;;0;70;1;1;3;;2006;;;;;;;;;;;CITROEN BERLINGO;1;70;;;;
00053;4;2;FORD;1;0;0;0;0;2006;0;0;1;0;;;;0;0;1;1;3;;2009;;;;;;;;;;;FORD - NON SPECIFIE;2;;;;;
00058;6;1;RENAULT KANGOO;0;1;0;0;0;2003;0;0;1;0;;;;1176;0;1;2;3;;2007;;;;;;;;;;;RENAULT KANGOO;1;;1176;;;
00059;3;2;AUDI Q3;0;1;0;0;0;2015;0;0;1;0;;;;0;0;1;1;3;;2015;;;;;;;;;;;AUDI - GROUPE;1;;;;;
00059;3;2;AUDI TT;1;0;0;0;0;2013;1;0;1;0;;100;800;0;0;1;1;3;;2013;;;;;;;;;;;AUDI - GROUPE;2;;;;;
00060;3;2;NISSAN;1;0;0;0;0;2012;1;0;1;0;;999;99999;0;0;1;1;3;;2012;;;;;;;;;;;NISSAN - NON SPECIFIE;1;;;;;
00060;3;2;VOLSWAGEN;1;0;0;0;0;2013;1;0;1;0;;999;99999;0;0;1;2;3;;2016;11;5;2;3;0;7000;;2;0;7000;VOLKSWAGEN - NON SPECIFIE;2;;;;7000;0
00062;1;1;R21 NEVADA;0;1;0;0;0;1993;1;0;1;0;;80;426;0;0;1;1;4;;;;;;;;;;;;;RENAULT 21;1;;;;;
