IDENT_MEN;VAG;NUMVEHAUT;NBVELOO;NBVELO;NB2R;NAUT;Natvelo;Quivelo;Acqvelo;Lieuvelo;Crevelo;Mvelo;Privelo;Nat2r;Pre2r;MARQUE_D;Puiss2r;Frais2r;Rec2r;Lieu2r;Acq2r;Cre2r;Mcre2r;Pri2r;NatAut;PreAut;FraisAut;Mfraisaut;Recaut;Lieuaut;Acqaut;Creaut;Mcreaut;Priaut;FRAIS2R_D;MCRE2R_D;MCREAUT_D;MFRAISAUT_D;MVELO_D;PRI2R_D;PRIVELO_D;PRIAUT_D
00003;5;1;2;0;1;;;;;;;;;4;DAELIM;DAELIM - NON SPECIFIE;3;80;1;3;2;2;;100;;;;;;;;;;;80;;;;;100;;
00008;3;1;3;2;;;1;6;1;8;2;;180;;;;;;;;;;;;;;;;;;;;;;;;;;;;180;
00008;3;2;3;2;;;4;2;2;3;2;;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;
00018;2;1;4;0;4;;;;;;;;;1;YAMAHA;YAMAHA - NON SPECIFIE;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
00018;2;2;4;0;4;;;;;;;;;1;YAMAHA;YAMAHA - NON SPECIFIE;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
00018;2;3;4;0;4;;;;;;;;;4;MBK;MBK - NON SPECIFIE;4;0;1;2;1;2;;2200;;;;;;;;;;;;;;;;2200;;
00018;2;4;4;0;4;;;;;;;;;4;MBK;MBK - NON SPECIFIE;4;0;1;3;2;2;;1500;;;;;;;;;;;;;;;;1500;;
00019;2;1;;;1;;;;;;;;;4;SCOOTER YAMAHA;YAMAHA - NON SPECIFIE;4;999999;1;3;2;2;;220;;;;;;;;;;;100;;;;;220;;
00021;5;1;3;1;;;1;4;1;7;2;;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;
00023;6;1;1;1;;;3;1;1;7;2;;198;;;;;;;;;;;;;;;;;;;;;;;;;;;;198;
00024;1;1;1;0;3;;;;;;;;;1;MOTO HONDA;HONDA - NON SPECIFIE;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
00024;1;2;1;0;3;;;;;;;;;1;MOTO KAWASAKI;KAWAZAKI - NON SPECIFIE;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
00024;1;3;1;0;3;;;;;;;;;1;MOTO YAMAHA;YAMAHA - NON SPECIFIE;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
00036;6;1;;;1;;;;;;;;;4;KIMKO;;1;1000;2;;;;;;;;;;;;;;;;1000;;;;;;;
00049;2;1;;;;1;;;;;;;;;;;;;;;;;;;3;;2;;2;;;;;;;;;;;;;
00062;1;1;4;1;1;;1;5;1;4;2;;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;120;
00062;1;2;4;1;1;;;;;;;;;4;BOOSTER MBK;;3;0;1;3;2;2;;700;;;;;;;;;;;;;;;;700;;
00073;3;1;3;1;;;1;4;1;7;2;;260;;;;;;;;;;;;;;;;;;;;;;;;;;;;260;
00074;3;1;;;1;;;;;;;;;1;BMW;BMW - NON SPECIFIE;1;400;2;;;;;;;;;;;;;;;;400;;;;;;;
00080;6;1;3;0;1;;;;;;;;;1;KTM ENDURO;;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
00087;6;1;2;0;;1;;;;;;;;;;;;;;;;;;;2;;2;;2;;;;;;;;;;;;;
00098;2;1;;;1;;;;;;;;;4;MBK;MBK - NON SPECIFIE;3;600;1;2;1;2;;2400;;;;;;;;;;;600;;;;;2400;;
00114;6;1;1;1;1;;3;2;2;3;2;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;
00114;6;2;1;1;1;;;;;;;;;1;HONDA;HONDA - NON SPECIFIE;1;0;2;;;;;;;;;;;;;;;;;;;;;;;
00132;4;1;1;1;;;3;1;1;7;2;;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;400;
00135;6;1;1;0;1;;;;;;;;;1;MOTO HONDA;HONDA - NON SPECIFIE;1;0;1;2;2;2;;3900;;;;;;;;;;;;;;;;3900;;
00139;5;1;;;1;;;;;;;;;4;PIAGIO;;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
00151;1;1;3;1;;;1;3;1;7;2;;69;;;;;;;;;;;;;;;;;;;;;;;;;;;;69;
