IDENT_MEN;vag;BCCOD;BCNACHAT;BCLIEU01;BCLIEU02;BCLIEU03;BCLIEU04;BCLIEU05;BCLIEU06;BCLIEU07;BCLIEU08;BCLIEU09;BCLIEU10;BCPRIX;BCLIEU00;BCPRIX_D
00002;6;3;2;0;0;0;1;0;0;0;0;0;0;20;;20
00016;4;3;1;0;0;0;0;0;0;0;1;0;0;25;;25
00016;4;5;2;0;0;1;0;0;0;0;0;0;0;20;;20
00018;2;3;1;0;0;0;0;0;0;0;1;0;0;6;;6
00018;2;5;2;0;0;0;1;0;0;0;0;0;0;28;;28
00018;2;7;1;0;0;0;1;0;0;0;0;0;0;49;;49
00018;2;9;1;0;0;0;1;0;0;0;0;0;0;25;;25
00023;6;7;99;0;0;0;0;0;0;0;0;0;0;999999;;110
00026;5;7;1;0;0;0;0;0;0;1;0;0;0;50;;50
00034;3;2;99;0;0;0;0;0;0;0;0;0;0;999999;;10
00034;3;5;2;0;0;1;0;0;0;0;0;0;0;10;;10
00034;3;7;2;0;0;0;0;0;0;1;0;0;0;40;;40
00034;3;7;2;0;0;0;0;0;0;1;0;0;0;40;;5
00034;3;9;3;0;0;0;0;0;0;1;0;0;0;90;;90
00037;4;3;1;0;0;0;0;0;0;0;1;0;0;10;0;10
00040;2;4;99;0;0;0;0;0;0;0;0;0;0;999999;;30
00045;3;3;5;0;0;0;0;0;0;0;1;0;0;60;;60
00045;3;7;3;0;0;0;1;0;0;0;0;0;0;110;;110
00046;3;1;1;0;0;0;0;0;0;0;1;0;0;15;;15
00046;3;3;1;0;0;1;0;0;0;0;0;0;0;10;;10
00046;3;5;1;0;0;0;0;0;0;1;0;0;0;15;;15
00048;3;3;2;0;0;0;1;0;0;0;0;0;0;14;;14
00048;3;7;1;0;0;0;1;0;0;0;0;0;0;70;;70
00048;3;7;1;0;0;0;1;0;0;0;0;0;0;70;;24
00048;3;9;1;0;0;0;0;0;0;1;0;0;0;60;;60
00052;5;3;4;0;0;0;0;0;0;0;1;0;0;24;;24
00054;3;2;99;0;0;0;0;0;0;0;0;0;0;999999;;17
00054;3;7;3;0;0;0;0;0;0;0;1;0;0;91;;91
00055;2;4;15;0;0;0;0;0;0;0;0;0;0;40;;40
00055;2;5;2;0;0;0;0;0;0;1;0;0;0;30;;30
00059;3;9;2;0;0;0;1;0;0;1;0;0;0;60;;60
00060;3;7;2;0;0;0;1;0;0;0;0;0;0;80;;80
00074;3;3;8;0;0;0;0;0;0;0;1;0;0;144;;144
00080;6;5;1;0;0;1;0;0;0;0;0;0;0;15;;15
00082;3;1;2;0;0;0;0;0;0;0;1;0;0;35;;35
00082;3;3;1;0;0;0;1;0;0;0;0;0;0;15;;15
00083;3;2;99;0;0;0;0;0;0;0;0;0;0;999999;;30
00091;3;1;2;0;0;0;0;0;0;1;0;0;0;25;;25
00091;3;9;2;0;0;0;0;0;1;0;0;0;0;35;;35
00092;3;2;99;0;0;0;0;0;0;0;0;0;0;999999;;10
00092;3;3;4;0;0;0;0;0;0;0;0;0;1;10;;10
00096;5;3;5;0;0;0;0;0;0;0;1;0;0;60;;60
00097;5;3;5;0;0;0;1;0;0;0;0;0;0;55;;55
00103;1;7;2;0;0;0;0;0;0;0;0;1;0;6;;6
00109;5;1;1;0;0;0;1;0;0;0;0;0;0;10;;10
00109;5;9;10;0;0;0;1;0;0;0;0;0;0;250;;250
00128;4;3;4;0;0;0;0;0;1;1;0;0;0;60;;60
00130;6;3;3;0;1;0;0;0;0;0;0;0;0;30;;30
00133;6;2;99;0;0;0;0;0;0;0;0;0;0;999999;;12
00150;6;2;30;0;0;0;0;0;0;0;0;0;0;30;;30
00152;6;3;1;0;0;0;0;0;0;0;1;0;0;15;;15
00157;5;4;99;0;0;0;0;0;0;0;0;0;0;999999;;40
00160;5;1;1;0;0;0;0;0;0;1;0;0;0;10;;10
00160;5;5;99;0;0;0;0;0;0;0;0;0;0;999999;;40
00161;3;5;3;0;0;0;1;0;0;0;0;0;0;100;;100
00161;3;9;3;0;0;0;1;0;0;0;0;0;0;200;;200
00163;6;9;1;1;0;0;0;0;0;0;0;0;0;20;;20
00164;1;9;5;0;0;0;0;0;0;0;1;0;0;100;;100
00167;4;4;99;0;0;0;0;0;0;0;0;0;0;999999;;22
00170;3;2;1;0;0;0;0;0;0;0;0;0;0;2;;2
00170;3;7;99;0;0;0;0;0;0;0;0;0;0;999999;;50
00171;4;7;99;0;0;0;0;0;0;0;0;0;0;999999;;30
00177;5;9;3;0;0;0;1;0;0;0;0;0;0;15;;15
00178;5;5;2;0;0;1;0;0;0;0;0;0;0;999999;;18
00180;5;3;4;0;0;0;1;0;0;0;0;1;0;23;;23
00186;6;3;10;0;0;0;0;0;0;0;1;0;0;150;;150
00187;4;2;99;0;0;0;0;0;0;0;0;0;0;999999;;4
00202;2;3;5;0;0;0;1;0;0;1;0;0;0;50;;50
00202;2;9;1;0;0;0;0;0;0;1;0;0;0;30;;30
00208;6;3;2;0;0;1;0;0;0;0;0;0;0;25;;25
00217;6;4;99;0;0;0;0;0;0;0;0;0;0;999999;;63
00220;6;3;1;0;0;0;0;0;0;0;1;0;0;7;;7
00221;1;1;3;0;0;1;0;0;0;0;0;0;0;20;;20
00221;1;3;8;0;0;1;0;0;0;0;0;0;0;40;;40
00221;1;5;3;0;0;1;0;0;0;0;0;0;0;18;;18
00223;1;1;2;0;0;0;1;0;0;0;0;0;0;34;;34
00223;1;3;4;0;0;0;1;0;0;0;0;0;0;39;;39
00223;1;9;1;0;0;0;0;0;0;1;0;0;0;160;;160
00225;1;3;2;0;0;0;0;0;0;0;0;1;0;3;;3
00236;5;3;1;0;0;0;0;0;0;1;0;0;0;10;;10
00244;1;1;2;0;0;0;1;0;0;0;0;0;0;34;;34
00254;3;3;4;0;0;0;0;0;0;0;1;0;0;40;;40
00254;3;9;10;0;0;0;0;0;0;0;1;0;0;250;;250
00265;2;9;2;0;0;0;0;0;0;1;0;0;0;75;;75
00268;1;5;1;0;0;0;0;0;0;1;0;0;0;17;;17
00277;3;1;2;0;0;0;0;1;0;0;0;0;0;20;;20
00278;3;2;1;0;0;0;0;0;0;0;0;0;0;4;;4
00278;3;3;10;0;0;1;0;0;0;0;0;0;0;100;;100
00278;3;7;99;0;0;0;0;0;0;0;0;0;0;999999;;39
00282;2;3;15;0;0;0;1;0;0;0;0;0;0;150;;150
00290;3;9;1;0;0;0;1;0;0;0;0;0;0;27;;27
00292;4;1;1;0;0;0;0;0;0;1;0;0;0;19;;19
00294;1;4;99;0;0;0;0;0;0;0;0;0;0;999999;;150
00296;3;7;9;0;0;0;0;0;0;0;1;0;0;277;;277
00299;1;5;1;0;0;0;0;0;0;0;0;0;1;15;;15
00304;5;1;2;0;0;0;0;0;0;1;0;0;0;30;;30
00304;5;3;1;0;0;0;0;0;0;1;0;0;0;16;;16
00308;1;3;10;0;0;0;0;0;0;0;1;0;0;50;;50
00308;1;9;2;0;0;0;0;0;0;0;1;0;0;40;;40
00309;4;3;6;0;0;0;0;0;0;0;1;0;0;60;;60
00311;1;4;99;0;0;0;0;0;0;0;0;0;0;999999;;80
00311;1;7;15;0;0;0;0;0;0;0;1;0;0;100;;100
00311;1;9;4;0;0;0;0;0;0;0;1;0;0;200;;200
00314;3;3;10;0;0;0;0;0;0;1;0;0;0;150;;150
00314;3;5;1;0;0;0;0;0;0;1;0;0;0;20;;20
00315;4;3;2;0;0;0;1;0;0;0;0;0;0;15;;15
00327;1;3;4;0;0;0;1;0;0;0;0;0;0;20;;20
00335;4;1;2;0;0;0;1;0;0;0;0;0;0;26;;26
00335;4;4;99;0;0;0;0;0;0;0;0;0;0;999999;;35
00337;1;3;1;0;0;0;0;0;0;0;1;0;0;12;;12
00353;1;7;2;0;0;0;1;0;0;0;0;0;0;102;;102
00363;1;7;2;0;0;1;0;0;0;0;0;0;0;90;;90
00363;1;9;2;0;0;1;0;0;0;0;0;0;0;120;;120
00367;1;1;30;0;0;0;0;0;0;0;0;1;0;15;;15
00367;1;3;30;0;0;0;0;0;0;0;0;1;0;20;;20
00369;1;3;2;0;0;0;0;0;0;1;0;0;0;23;;23
00369;1;5;1;0;0;0;1;0;0;0;0;0;0;5;;5
00371;2;3;1;0;0;0;0;0;0;0;1;0;0;30;;30
00372;3;7;1;0;0;0;1;0;0;0;0;0;0;40;;40
00375;2;9;1;0;0;0;0;0;0;0;0;1;0;5;;5
00381;1;3;7;0;0;0;0;0;0;1;0;0;0;80;;80
00383;6;3;6;0;0;0;1;1;0;0;0;0;0;30;;30
00384;6;3;2;0;0;0;1;0;0;0;0;0;0;16;;16
00386;4;3;2;0;0;0;1;0;0;0;0;0;0;20;;20
00387;5;9;1;0;0;0;1;0;0;0;0;0;0;88;;88
00396;2;3;4;0;0;0;0;0;0;1;0;0;0;50;;50
00397;3;4;3;0;0;0;0;0;0;0;0;0;0;15;;15
00403;4;3;2;0;0;0;0;0;1;0;0;0;0;20;;20
00410;3;7;1;0;0;0;1;0;0;0;0;0;0;29;;29
00414;5;7;99;0;0;0;0;0;0;0;0;0;0;999999;;10
00414;5;9;1;1;0;0;0;0;0;0;0;0;0;10;;10
00415;5;9;1;0;0;0;0;0;0;0;1;0;0;25;;25
00416;3;2;3;0;0;0;0;0;0;0;0;0;0;35;;35
00416;3;2;3;0;0;0;0;0;0;0;0;0;0;35;;10
00416;3;5;2;0;0;0;0;0;0;0;1;0;0;15;;15
00416;3;7;99;0;0;0;0;0;0;0;0;0;0;999999;;25
00417;1;4;99;0;0;0;0;0;0;0;0;0;0;999999;;70
00418;6;3;3;0;0;0;0;0;0;0;1;0;0;35;;35
00419;2;1;10;0;0;1;0;0;0;0;0;0;0;100;;100
00422;1;3;3;0;0;0;0;0;0;0;1;0;0;25;;25
00423;2;3;6;0;0;0;0;0;0;0;1;0;0;40;;40
00429;5;2;99;0;0;0;0;0;0;0;0;0;0;999999;;5
00429;5;9;1;0;0;0;0;0;0;0;1;0;0;50;;50
00431;6;2;99;0;0;0;0;0;0;0;0;0;0;999999;;13
00431;6;4;99;0;0;0;0;0;0;0;0;0;0;999999;;30
00431;6;5;10;0;0;0;0;0;0;1;0;0;0;100;;100
00431;6;9;4;0;0;1;0;0;0;0;0;0;0;100;;100
00449;4;3;5;0;0;0;0;0;0;0;1;0;0;25;;25
00449;4;9;1;0;0;1;0;0;0;0;0;0;0;20;;20
00452;2;1;3;0;0;1;0;0;0;0;0;0;1;30;;30
00456;1;7;1;0;0;0;1;0;0;0;0;0;0;55;;55
00456;1;9;10;0;0;0;1;0;0;0;0;0;1;60;;60
00461;2;7;4;0;0;0;0;0;0;1;0;0;0;230;;230
00461;2;7;4;0;0;0;0;0;0;1;0;0;0;230;;30
00475;5;2;1;0;0;0;0;0;0;0;0;0;0;999999;;18
00475;5;4;99;0;0;0;0;0;0;0;0;0;0;999999;;150
00485;2;1;1;0;0;0;0;0;0;1;0;0;0;14;;14
00485;2;4;99;0;0;0;0;0;0;0;0;0;0;999999;;20
00499;3;1;3;0;0;0;0;0;0;1;0;0;0;45;;45
00499;3;3;1;0;0;0;0;0;0;1;0;0;0;15;;15
00501;2;4;99;0;0;0;0;0;0;0;0;0;0;999999;;20
00501;2;5;1;0;0;0;1;0;0;0;0;0;0;18;;18
00523;5;4;99;0;0;0;0;0;0;0;0;0;0;999999;;20
00537;1;7;1;0;0;0;0;0;0;0;1;0;0;70;;70
00540;3;3;1;0;0;0;0;0;0;1;0;0;0;24;;24
00542;2;1;2;0;0;0;0;0;0;1;0;0;0;40;;40
00542;2;3;8;0;0;0;0;0;0;1;0;0;0;50;;50
