IDENT_MEN;numgarage;Nbgar;STATUGAR;ANACQGAR;PRIXGAR;NATGAR1;NATGAR2;NATGAR3;NATGAR4;NATGAR5;NATGAR6;NATGAR7;NATGAR8;NATGAR9;Mloyg;Mremg;Mtaxg;Massg;Mcharg;vag;MASSG_D;MCHARG_D;MLOYG_D;MREMG_D;MTAXG_D;PRIXGAR_D
00002;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00004;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00005;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00008;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;3;;;;;;
00012;1;1;1;1;99999999;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;30000
00013;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;2;;;;;;
00014;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;3;;;;;;
00015;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;3;;;;;;
00016;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;4;;;;;;
00017;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00018;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;2;;;;;;
00020;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;3;;;;;;
00024;1;2;1;2;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00024;2;2;1;2;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00025;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00028;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00029;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;4;;;;;;
00035;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;2;;;;;;
00038;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00039;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00043;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00044;1;3;1;2;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00044;2;3;1;2;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00044;3;3;1;2;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00045;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;3;;;;;;
00046;1;2;1;2;;0;0;0;0;0;0;0;0;1;;;;;;3;;;;;;
00046;2;2;1;2;;0;0;0;0;0;0;0;0;1;;;;;;3;;;;;;
00047;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00051;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00053;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;4;;;;;;
00058;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00062;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00066;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;2;;;;;;
00067;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;2;;;;;;
00072;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;3;;;;;;
00073;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;3;;;;;;
00074;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;3;;;;;;
00075;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00079;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00082;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;3;;;;;;
00085;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00087;1;2;1;2;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00087;2;2;1;2;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00090;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00092;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;3;;;;;;
00093;1;2;1;2;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00093;2;2;1;2;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00094;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;2;;;;;;
00096;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00097;1;3;2;;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00097;2;3;2;;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00097;3;3;2;;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00100;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;4;;;;;;
00101;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00105;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00108;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00113;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;3;;;;;;
00114;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00116;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00118;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00119;1;1;1;2;;0;0;1;0;0;0;0;0;0;;;60;;;3;;;;;60;
00120;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00121;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00123;1;2;2;;;0;0;0;0;0;0;0;0;1;;;;;;2;;;;;;
00123;2;2;2;;;0;0;0;0;0;0;0;0;1;;;;;;2;;;;;;
00125;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;3;;;;;;
00127;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;2;;;;;;
00129;1;1;2;;;1;0;0;0;0;0;0;0;0;480;;;;;1;;;480;;;
00131;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;3;;;;;;
00133;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00135;1;2;1;2;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00135;2;2;2;;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00136;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;4;;;;;;
00137;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00138;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00139;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00142;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;2;;;;;;
00144;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;4;;;;;;
00148;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00149;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;3;;;;;;
00151;1;2;2;;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00151;2;2;2;;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00154;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00155;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00156;1;1;1;2;;0;0;1;0;0;0;0;0;0;;;57;;;3;;;;;57;
00157;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00158;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00160;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00161;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;3;;;;;;
00167;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;4;;;;;;
00168;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00169;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;3;;;;;;
00170;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;3;;;;;;
00171;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;4;;;;;;
00172;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00176;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00177;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00178;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00179;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00180;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00181;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;3;;;;;;
00184;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00186;1;2;2;;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00186;2;2;2;;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00187;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;4;;;;;;
00190;1;2;1;2;;0;0;0;0;0;0;0;0;1;;;;;;4;;;;;;
00190;2;2;1;2;;0;0;0;0;0;0;0;0;1;;;;;;4;;;;;;
00192;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00193;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;4;;;;;;
00198;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;2;;;;;;
00199;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;3;;;;;;
00200;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00204;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;3;;;;;;
00208;1;3;1;2;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00208;2;3;1;2;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00208;3;3;1;2;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00209;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00210;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;2;;;;;;
00211;1;3;1;2;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00211;2;3;1;2;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00211;3;3;1;2;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00214;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;2;;;;;;
00219;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;4;;;;;;
00220;1;1;2;;;1;0;0;0;0;0;0;0;0;780;;;;;6;;;780;;;
00221;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00223;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00225;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00228;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00232;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00233;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00234;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;3;;;;;;
00235;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;2;;;;;;
00236;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00238;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;4;;;;;;
00239;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;3;;;;;;
00240;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;3;;;;;;
00242;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;4;;;;;;
00243;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;2;;;;;;
00244;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00247;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00252;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;2;;;;;;
00255;1;2;2;;;0;0;0;0;0;0;0;0;1;;;;;;4;;;;;;
00255;2;2;1;2;;0;0;0;0;0;0;0;0;1;;;;;;4;;;;;;
00258;1;1;2;;;1;0;0;0;0;0;0;0;0;1148;;;;;1;;;1148;;;
00260;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00261;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;3;;;;;;
00263;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00264;1;2;2;;;0;0;0;0;0;0;0;0;1;;;;;;4;;;;;;
00264;2;2;2;;;0;0;0;0;0;0;0;0;1;;;;;;4;;;;;;
00270;1;2;2;;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00270;2;2;2;;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00271;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;4;;;;;;
00276;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;4;;;;;;
00277;1;1;2;;;1;0;0;0;0;0;0;0;0;408;;;;;3;;;408;;;
00282;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;2;;;;;;
00284;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;4;;;;;;
00286;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00287;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;4;;;;;;
00290;1;1;2;;;1;0;0;0;0;0;0;0;0;43;;;;;3;;;43;;;
00291;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;2;;;;;;
00292;1;2;1;2;;0;0;0;0;0;0;0;0;1;;;;;;4;;;;;;
00292;2;2;1;2;;0;0;0;0;0;0;0;0;1;;;;;;4;;;;;;
00293;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;2;;;;;;
00294;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00295;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;3;;;;;;
00296;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;3;;;;;;
00303;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00304;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00306;1;2;1;2;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00306;2;2;1;2;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00307;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00308;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00309;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;4;;;;;;
00310;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;3;;;;;;
00312;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;3;;;;;;
00313;1;2;1;2;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00313;2;2;1;2;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00314;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;3;;;;;;
00316;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;3;;;;;;
00317;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;4;;;;;;
00319;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;2;;;;;;
00320;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00322;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;4;;;;;;
00323;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;2;;;;;;
00324;1;2;1;2;;0;0;0;0;0;0;0;0;1;;;;;;4;;;;;;
00324;2;2;1;2;;0;0;0;0;0;0;0;0;1;;;;;;4;;;;;;
00325;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00326;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00327;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00331;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00335;1;2;1;2;;0;0;0;0;0;0;0;0;1;;;;;;4;;;;;;
00335;2;2;1;2;;0;0;0;0;0;0;0;0;1;;;;;;4;;;;;;
00336;1;2;1;2;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00336;2;2;1;2;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00337;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00340;1;1;2;;;1;0;0;0;0;0;0;0;0;2400;;;;;6;;;2400;;;
00344;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;4;;;;;;
00345;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00347;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;2;;;;;;
00349;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00351;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00352;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00354;1;2;1;2;;0;0;0;0;0;0;0;0;1;;;;;;2;;;;;;
00354;2;2;1;2;;0;0;0;0;0;0;0;0;1;;;;;;2;;;;;;
00355;1;2;1;2;;0;0;0;0;0;0;0;0;1;;;;;;2;;;;;;
