IDENT_MEN;COEFFUC;REV010;REV100;I_REV100;REV101;I_REV101;REV200;I_REV200;REV201;I_REV201;REV202;I_REV202;REV203;I_REV203;REV213;I_REV213;REV204;I_REV204;REV205;I_REV205;REV206;I_REV206;REV207;I_REV207;REV208;I_REV208;REV209;I_REV209;REV210;I_REV210;REV211;I_REV211;REV300;I_REV300;REV301;I_REV301;REV302;I_REV302;REV304;I_REV304;REV305;I_REV305;REV306;I_REV306;REV400;I_REV400;REV401;I_REV401;REV402;I_REV402;REV407;I_REV407;REV408;I_REV408;REV412;I_REV412;REV413;I_REV413;REV413a;I_REV413a;REV413b;I_REV413b;REV413c;I_REV413c;REV413d;I_REV413d;REV414;I_REV414;REV500;I_REV500;REV520;I_REV520;REV501;I_REV501;REV502;I_REV502;REV503;I_REV503;REV519;I_REV519;REV509;I_REV509;REV504;I_REV504;REV505;I_REV505;REV506;I_REV506;REV507;I_REV507;REV508;I_REV508;REV600;I_REV600;REV601;I_REV601;REV602;I_REV602;REV603;I_REV603;REV604;I_REV604;REV605;I_REV605;REV606;I_REV606;REV699;I_REV699;REV800;I_REV800;REV850;I_REV850;REV851;I_REV851;REV852;I_REV852;REV801;REV700;I_REV700;REV701;I_REV701;REV702;I_REV702;REV999;I_REV999;PRESTFAM_MENS;I_PRESTFAM_MENS;REVACT;REVPAT;REVEXC;revsoc;revtot;FAM01;FAM02;FAM03;FAM04;FAM05;FAM06;FAM07;FAM08;FAM09;FAM10;FAM11;FAM12;FAM13;RD_R400;MOPT1_R400;MOPT1_D_R400;I_MOPT1_R400;P1_R400;MOPT2_R400;MOPT2_D_R400;I_MOPT2_R400;M4_R400;RD_R401;MOPT1_R401;MOPT1_D_R401;I_MOPT1_R401;P1_R401;MOPT2_R401;MOPT2_D_R401;I_MOPT2_R401;M4_R401;RD_R402;MOPT1_R402;MOPT1_D_R402;I_MOPT1_R402;P1_R402;MOPT2_R402;MOPT2_D_R402;I_MOPT2_R402;M4_R402;RD_R403;MOPT1_R403;MOPT1_D_R403;I_MOPT1_R403;P1_R403;MOPT2_R403;MOPT2_D_R403;I_MOPT2_R403;M4_R403;RD_R404;MOPT1_R404;MOPT1_D_R404;I_MOPT1_R404;P1_R404;MOPT2_R404;MOPT2_D_R404;I_MOPT2_R404;M4_R404;RD_R405;MOPT1_R405;MOPT1_D_R405;I_MOPT1_R405;P1_R405;MOPT2_R405;MOPT2_D_R405;I_MOPT2_R405;M4_R405;RD_R406;MOPT1_R406;MOPT1_D_R406;I_MOPT1_R406;P1_R406;MOPT2_R406;MOPT2_D_R406;I_MOPT2_R406;M4_R406;RD_R407;MOPT1_R407;MOPT1_D_R407;I_MOPT1_R407;P1_R407;MOPT2_R407;MOPT2_D_R407;I_MOPT2_R407;M4_R407;RD_R408;MOPT1_R408;MOPT1_D_R408;I_MOPT1_R408;P1_R408;MOPT2_R408;MOPT2_D_R408;I_MOPT2_R408;M4_R408;RD_R409;MOPT1_R409;MOPT1_D_R409;I_MOPT1_R409;P1_R409;MOPT2_R409;MOPT2_D_R409;I_MOPT2_R409;M4_R409;RD_R410;MOPT1_R410;MOPT1_D_R410;I_MOPT1_R410;P1_R410;MOPT2_R410;MOPT2_D_R410;I_MOPT2_R410;M4_R410;RD_R411;MOPT1_R411;MOPT1_D_R411;I_MOPT1_R411;P1_R411;MOPT2_R411;MOPT2_D_R411;I_MOPT2_R411;M4_R411;vag
00010;1.3;0;0;0;0;0;10800;0;0;0;7200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1200;0;0;0;363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10620;0;0;0;0;0;0;0;0;1200;0;10800;8;0;8763;19571;1;0;1;1;0;0;0;0;0;0;0;0;0;6;1200;1200;0;6;;;0;;;;;;;;;;;12;363;363;0;12;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
00011;1.5;0;811;1;0;0;6960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4800;1;0;0;0;0;0;0;588;0;;0;0;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2400;0;0;0;0;0;0;0;0;;0;7771;0;0;5388;13159;1;0;0;0;0;0;0;0;0;0;0;0;0;12;49;49;0;1;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
00015;1;0;0;0;0;0;5860;0;0;0;0;0;11040;0;4320;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6312;0;0;0;0;0;0;0;0;0;0;5860;0;0;15360;21220;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
00022;1.5;0;0;0;0;0;19900;0;0;0;0;0;15600;0;7200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11424;0;0;0;0;0;0;0;0;0;0;19900;82;0;22800;42782;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6
00027;2.7;0;0;0;0;0;12000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1302;1;;0;0;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1896;0;0;0;0;0;0;0;0;;0;12000;0;0;1302;13302;1;0;0;0;0;0;0;0;0;0;0;0;0;12;;;0;;999999;1302;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6
00030;1.5;720;0;0;0;0;10000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;0;720;10720;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
00031;2.9;0;0;0;0;0;2500;0;0;0;0;0;0;0;0;0;0;0;0;0;3600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2028;0;;0;1400;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;2500;0;0;7028;9528;1;0;1;0;0;0;0;0;0;0;0;0;0;12;169;169;0;1;;;0;;;;;;;;;;;12;1400;1400;0;12;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
00033;1;0;0;0;0;0;19200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19200;0;0;0;19200;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6
00036;2.1;0;0;0;0;0;16800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;16800;0;0;0;16800;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6
00037;2.6;0;0;0;0;0;11200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3400;1;0;0;0;0;;0;11200;0;3400;0;14600;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
