division,annee,mois,indice
alimentation,1990,1,67.57
alimentation,1990,2,67.72
alimentation,1990,3,67.72
alimentation,1990,4,68.57
alimentation,1990,5,68.57
alimentation,1990,6,68.09
alimentation,1990,7,67.64
alimentation,1990,8,68.07
alimentation,1990,9,68.53
alimentation,1990,10,68.57
alimentation,1990,11,68.46
alimentation,1990,12,68.34
alimentation,1991,1,68.97
alimentation,1991,2,69.16
alimentation,1991,3,69.57
alimentation,1991,4,70.04
alimentation,1991,5,70.35
alimentation,1991,6,70.51
alimentation,1991,7,70.65
alimentation,1991,8,70.35
alimentation,1991,9,70.21
alimentation,1991,10,70.98
alimentation,1991,11,71.47
alimentation,1991,12,70.2
alimentation,1992,1,70.69
alimentation,1992,2,70.91
alimentation,1992,3,71.13
alimentation,1992,4,71.39
alimentation,1992,5,71.68
alimentation,1992,6,71.02
alimentation,1992,7,70.34
alimentation,1992,8,69.72
alimentation,1992,9,70.09
alimentation,1992,10,70.53
alimentation,1992,11,70.59
alimentation,1992,12,70.19
alimentation,1993,1,70.8
alimentation,1993,2,70.5
alimentation,1993,3,71.15
alimentation,1993,4,71.06
alimentation,1993,5,71.17
alimentation,1993,6,70.66
alimentation,1993,7,70.52
alimentation,1993,8,69.88
alimentation,1993,9,70.15
alimentation,1993,10,70.4
alimentation,1993,11,70.7
alimentation,1993,12,70.49
alimentation,1994,1,70.44
alimentation,1994,2,70.59
alimentation,1994,3,70.67
alimentation,1994,4,71.16
alimentation,1994,5,71.69
alimentation,1994,6,71.48
alimentation,1994,7,71.35
alimentation,1994,8,70.93
alimentation,1994,9,71.39
alimentation,1994,10,71.94
alimentation,1994,11,71.52
alimentation,1994,12,71.17
alimentation,1995,1,71.94
alimentation,1995,2,71.94
alimentation,1995,3,72.13
alimentation,1995,4,72.26
alimentation,1995,5,72.58
alimentation,1995,6,72.43
alimentation,1995,7,72.09
alimentation,1995,8,71.74
alimentation,1995,9,71.75
alimentation,1995,10,71.81
alimentation,1995,11,72.09
alimentation,1995,12,72.22
alimentation,1996,1,72.51
alimentation,1996,2,72.66
alimentation,1996,3,73.32
alimentation,1996,4,73.27
alimentation,1996,5,73.73
alimentation,1996,6,73.37
alimentation,1996,7,73.26
alimentation,1996,8,72.37
alimentation,1996,9,72.53
alimentation,1996,10,72.64
alimentation,1996,11,72.95
alimentation,1996,12,73.2
alimentation,1997,1,74.36
alimentation,1997,2,73.77
alimentation,1997,3,73.44
alimentation,1997,4,73.63
alimentation,1997,5,74.2
alimentation,1997,6,74.21
alimentation,1997,7,74.41
alimentation,1997,8,74.26
alimentation,1997,9,74.5
alimentation,1997,10,74.68
alimentation,1997,11,75.15
alimentation,1997,12,75.03
alimentation,1998,1,75.03
alimentation,1998,2,75.05
alimentation,1998,3,75.16
