annee,ebe_ei,ebe_hors_ei,ebe_total,salaires_bruts,interets_dividendes_nets,prestations_sociales,autres_ressources_nettes,total_ressources,impots_revenu_patrimoine,cotisations_sociales,total_charges,rdb,transferts_nature,rdb_ajuste,contrib_salaires,contrib_ebe,contrib_propriete,contrib_prestations,contrib_autres,contrib_impots,contrib_cotisations,contrib_rdb_nominal,g_deflateur,g_pa_total,g_pa_menage,g_pa_uc,nb_menages_milliers,nb_uc_milliers,deflateur_indice,contrib_prix,pouvoir_achat_reconstitue,euros_par_menage,euros_par_uc,euros_par_menage_reel,euros_par_uc_reel
1949,3.389,0.256,3.6449999999999996,4.629999999999999,0.267,1.3690000000000002,-0.163,9.75,0.30900000000000005,0.245,0.554,9.196,1.236,10.431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,3.9289999999999994,0.31599999999999995,4.243,5.137,0.31499999999999995,1.661,-0.165,11.190000000000001,0.41500000000000004,0.271,0.6890000000000001,10.504,1.449,11.951,5.513266637668559,6.502827316224454,0.521966072205306,3.1752936059156136,-0.021748586341887796,-1.152675076120052,-0.28273162244454136,14.223575467594605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,4.72,0.392,5.114000000000001,6.539,0.40399999999999997,2.0890000000000004,-0.16,13.987,0.467,0.365,0.832,13.156000000000002,1.8399999999999999,14.995,13.34729626808835,8.292079207920798,0.8472962680883476,4.0746382330540785,0.047600913937547645,-0.495049504950495,-0.8948971820258946,25.247524752475275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,5.391000000000001,0.485,5.875000000000001,7.832,0.462,2.4339999999999997,-0.184,16.422,0.5920000000000001,0.473,1.064,15.357000000000001,2.273,17.628999999999998,9.82821526299787,5.7844329583460015,0.44086348434174555,2.6223776223776163,-0.18242626938279105,-0.9501368197020373,-0.8209182122225598,16.730009121313458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,5.372,0.538,5.909,8.14,0.512,2.6420000000000003,-0.178,17.025,0.7689999999999999,0.542,1.311,15.713,2.425,18.137999999999998,2.0056000520935124,0.22139740834797758,0.3255844240411538,1.354431204011204,0.0390701308849385,-1.1525688611056835,-0.44930650517679266,2.318161099173003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,5.588,0.661,6.246,8.793,0.562,2.8649999999999998,-0.22899999999999998,18.238000000000003,0.717,0.5710000000000001,1.288,16.948999999999998,2.505,19.454,4.155794565009856,2.1447209317125986,0.3182078533698215,1.4192070260293987,-0.3245720104372175,0.33093616750461363,-0.18456055495449644,7.866098135301972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,5.8580000000000005,0.746,6.603999999999999,9.523,0.604,3.2090000000000005,-0.272,19.669,0.679,0.635,1.314,18.355,2.641,20.994999999999997,4.307038763348873,2.1122190099710827,0.24780223022007156,2.029618266564404,-0.25370228332055017,0.22420201781815993,-0.3776033984305856,8.29547465927195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,6.159,0.841,6.9990000000000006,10.697,0.667,3.549,-0.302,21.61,0.859,0.726,1.583,20.026,3.006,23.032,6.396077363116314,2.1520021792427206,0.34323072732225585,1.8523563061835981,-0.1634432034867882,-0.9806592209207297,-0.49577771724325786,9.103786434214108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,6.906000000000001,0.961,7.868,12.006,0.7989999999999999,3.9819999999999993,-0.33,24.326,1.014,0.838,1.852,22.475,3.319,25.790999999999997,6.5365025466893085,4.339358833516427,0.659143113951862,2.1621891540996674,-0.13981823629281945,-0.7739938080495358,-0.5592729451712773,12.22910216718267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,7.950999999999999,1.101,9.052999999999999,13.737,0.894,4.457,-0.33,27.808,1.2970000000000002,0.985,2.28,25.529,3.748,29.276,7.7018909899888754,5.27252502780867,0.42269187986651874,2.1134593993325943,0,-1.2591768631813132,-0.6540600667408232,13.588431590656278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
