trimestre,annee,trim,contrib_ebe,contrib_salaires,contrib_propriete,contrib_prestations,contrib_autres,contrib_impots,contrib_cotisations,contrib_rdb_nominal,g_prix,g_pa_rdb,g_pa_rdb_uc,contrib_prix,pouvoir_achat_reconstitue
1949T1,1949,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949T2,1949,2,1.18479486,1.20489942,0.02950168,0.21043787,-0.00563373,0.6020585,0.10335525,1.91858635,0.61406179,1.29656286,1.05320491,-0.61406179,1.30452456
1949T3,1949,3,1.58451691,0.40035474,0.05789265,0.28625266,-0.01105535,0.42470893,0.00756564,1.88568703,2.81453351,-0.90341944,-1.12632372,-2.81453351,-0.92884648
1949T4,1949,4,1.23945548,0.28107558,0.08523176,0.7892146,-0.01627611,0.19384333,0.02455168,2.16030631,0.42343235,1.72955048,1.51619374,-0.42343235,1.73687396
1950T1,1950,1,1.12994526,1.39582952,0.11123924,0.694113,-0.02124257,0.74358533,0.07218006,2.49411906,1.54907795,0.930625,0.73419927,-1.54907795,0.94504111
1950T2,1950,2,2.33261262,1.97598966,0.15273482,1.12577209,-0.00180837,-0.60489215,0.09860693,6.09158604,1.84606228,4.16856938,3.96201736,-1.84606228,4.24552376
1950T3,1950,3,1.6492617999999999,1.99153046,0.18562955,1.07068675,0.01612656,0.17994489,0.11179133,4.62149889,4.21521753,0.38984841,0.18712585,-4.21521753,0.4062813599999995
1950T4,1950,4,1.923738,2.33399649,0.21725365,0.61528426,0.03245762,0.92341927,0.11363963,4.08567111,2.86995059,1.18180335,0.97381271,-2.86995059,1.2157205199999996
1951T1,1951,1,1.88371508,2.9243747,0.2469866,1.04887082,0.04755799,-0.19817966,0.18411637,6.16556848,5.2443672,0.87529747,0.66430268,-5.2443672,0.92120128
1951T2,1951,2,2.03685062,3.86022453,0.20005867,1.22822933,0.00836081,-0.31515779,0.29449513,7.35438662,5.17509198,2.07206345,1.85945766,-5.17509198,2.1792946399999993
1951T3,1951,3,1.77805325,4.16736308,0.15600154,0.63867881,-0.02615117,0.12983579,0.26163135,6.32247836,3.72608233,2.50312744,2.2905151,-3.72608233,2.5963960299999997
1951T4,1951,4,1.93814769,3.63858831,0.1181778,0.80238111,-0.05651711,0.72247319,0.32289728,5.39540732,5.00446178,0.37231327,0.16498895,-5.00446178,0.3909455400000006
1952T1,1952,1,1.74607725,2.22587735,0.08504233,0.79782219,-0.08391081,-0.18068139,0.14736639,4.80422331,3.22096697,1.53385149,1.32500174,-3.22096697,1.5832563400000002
1952T2,1952,2,0.89721946,1.36962956,0.08076702,0.15189453,-0.04505671,0.462614,0.1383392,1.85350067,0.55185386,1.29450304,1.08593287,-0.55185386,1.30164681
1952T3,1952,3,0.53452583,0.73270671,0.07892714,0.49959446,-0.00986621,0.43911953,0.11663728,1.28013112,0.41868625,0.85785316,0.64997243,-0.41868625,0.8614448700000001
1952T4,1952,4,-0.07057888,0.30069653,0.07756411,0.43287777,0.02419464,-0.22136731,0.12054928,0.8655722,-0.39442429,1.2649859,1.0560577,0.39442429,1.25999649
1953T1,1953,1,-0.38516959,0.13195999,0.07653621,0.45178785,0.05763193,0.25060597,0.13082934,-0.04868893,-0.26695144,0.21884672,0.01187289,0.26695144,0.21826251
1953T2,1953,2,0.20904569,0.55884545,0.07894211,0.06008713,0.01315258,0.2989075,0.1290572,0.49210826,-0.09682104,0.58950006,0.38180947,0.09682104,0.5889293
1953T3,1953,3,-0.10394243,0.56844304,0.08091256,0.21805796,-0.0312013,1.95199483,0.06204955,-1.28177456,-0.00183663,-1.27996143,-1.48374368,0.00183663,-1.27993793
1953T4,1953,4,0.3199646,0.90977086,0.08435077,0.46635547,-0.07647096,-1.94329446,0.03757244,3.60969275,-0.44473949,4.07254445,3.85776494,0.44473949,4.05443224
1954T1,1954,1,0.73861876,1.37738204,0.0837165,0.32655197,-0.11710825,-0.04974728,0.00992302,2.44898527,0.78881685,1.64717523,1.43745205,-0.78881685,1.6601684200000002
1954T2,1954,2,0.89085028,1.30507668,0.0753244,0.45601907,-0.09943383,-0.37654493,0.0501532,2.95422833,0.80447208,2.13260008,1.92186189,-0.80447208,2.14975625
1954T3,1954,3,0.57670862,0.72498332,0.06695548,0.20617855,-0.08213244,1.76994432,0.02982124,-0.30707203,0.5105067,-0.81342613,-1.01809769,-0.5105067,-0.8175787299999999
1954T4,1954,4,0.54645307,0.88947057,0.06093507,0.55548071,-0.06789274,-2.02018798,0.07876282,3.92587185,0.30380139,3.61109988,3.39728664,-0.30380139,3.62207046
1955T1,1955,1,0.45792082,0.85343506,0.05264179,0.54355124,-0.05138283,0.29316684,0.11175438,1.45124486,-0.54231149,2.00442658,1.79391835,0.54231149,1.99355635
1955T2,1955,2,0.47041322,1.07386639,0.05646514,0.57314634,-0.04892016,0.32376182,0.09929807,1.70191103,0.58060006,1.11483822,0.90616737,-0.58060006,1.1213109700000001
1955T3,1955,3,0.417529,1.46386687,0.06002003,0.55391888,-0.04640277,-0.28142791,0.12268258,2.60767734,0.56071893,2.03554473,1.82497623,-0.56071893,2.0469584100000002
1955T4,1955,4,0.45624733,1.64705204,0.06288013,0.33833889,-0.04356793,0.28894691,0.12889438,2.04310917,1.16138774,0.87159879,0.66343557,-1.16138774,0.8817214300000003
1956T1,1956,1,0.46187757,1.64398981,0.06591878,0.45209007,-0.04107319,0.37461729,0.11246841,2.09571733,1.57708854,0.51057655,0.30316247,-1.57708854,0.5186287899999997
1956T2,1956,2,0.36212994,1.58747504,0.09778748,0.39853547,-0.0387776,0.36978869,0.11361092,1.92375072,1.11783042,0.79701107,0.58900389,-1.11783042,0.8059202999999999
1956T3,1956,3,0.80384724,1.52127137,0.12853657,0.49352664,-0.03662062,-0.36501992,0.12905412,3.146527,1.57918503,1.54297553,1.33342784,-1.57918503,1.5673419699999998
1956T4,1956,4,1.04834723,1.41910998,0.15621597,0.48942008,-0.0341219,1.19880405,0.12398053,1.75618678,1.03560985,0.71319106,0.50535551,-1.03560985,0.72057693
1957T1,1957,1,0.96804132,1.40389947,0.18457495,0.56271039,-0.03217524,0.06304539,0.14043502,2.88357048,0.19983386,2.6783843,2.46649397,-0.19983386,2.68373662
1957T2,1957,2,1.15211078,1.59228703,0.16824526,0.49022249,-0.03063446,0.19209539,0.13727977,3.04285592,1.81993606,1.20106131,0.99221846,-1.81993606,1.22291986
1957T3,1957,3,1.42664562,1.8317367,0.15244991,0.64615126,-0.02910971,-1.00496366,0.14548617,4.88735128,3.13165512,1.70238339,1.49250571,-3.13165512,1.7556961599999998
1957T4,1957,4,1.24313953,2.08926663,0.13502376,0.45283853,-0.02716208,1.00551089,0.1601608,2.72743468,3.5482275,-0.79266719,-0.99739538,-3.5482275,-0.8207928199999999
1958T1,1958,1,1.8847635,2.20066402,0.12139036,0.47723018,-0.0258654,0.77936704,0.16948072,3.7093349,3.8852909,-0.16937528,-0.37538824,-3.8852909,-0.17595600000000022
1958T2,1958,2,1.45988943,1.82579329,0.07489965,0.55120087,0.01323518,-1.04891616,0.14911977,4.82481481,2.96744425,1.80384254,1.59375621,-2.96744425,1.8573705600000006
1958T3,1958,3,0.35867333,1.28472348,0.03124323,0.4260468,0.04904434,2.31973474,0.13897298,-0.30897655,1.21755217,-1.50816601,-1.71141802,-1.21755217,-1.52652872
1958T4,1958,4,-0.13243362,0.9868145,-0.00899353,0.46534273,0.08572755,-1.25532312,0.1394837,2.51229705,0.94821585,1.54938964,1.33982834,-0.94821585,1.5640812
1959T1,1959,1,-0.2258345,1.1123922,-0.04811826,0.14628154,0.11926254,0.07070355,0.18510884,0.84817113,2.49623771,-1.60792886,-1.81097334,-2.49623771,-1.64806658
1959T2,1959,2,0.18421374,1.39563512,0.01286866,0.65283156,0.08684545,0.29998374,0.16289536,1.86951543,1.00240278,0.85850695,0.65037135,-1.00240278,0.8671126500000002
1959T3,1959,3,0.78742306,1.17134088,0.07210291,0.66601517,0.05441413,1.23296148,0.10529079,1.41304387,0.96797557,0.44080145,0.23352741,-0.96797557,0.4450683000000001
1959T4,1959,4,1.096973,1.16423679,0.12974004,0.62348509,0.02324809,-0.606614,0.07170006,3.57259695,1.11382859,2.43168357,2.22030152,-1.11382859,2.4587683599999997
1960T1,1960,1,1.74097051,1.17364082,0.18188385,0.10362362,-0.0069128,-0.14254446,0.01127417,3.32447629,0.66633088,2.6405506,2.42873889,-0.66633088,2.65814541
1960T2,1960,2,1.19613907,1.11614131,0.13097362,0.38666039,-0.01729767,0.02656093,0.06624856,2.71980723,0.67043605,2.03572296,1.82515803,-0.67043605,2.0493711799999996
1960T3,1960,3,0.52930195,1.25221863,0.08364066,0.41625796,-0.02716611,0.07278822,0.11861975,2.06284512,0.58378565,1.47047505,1.26107614,-0.58378565,1.47905947
1960T4,1960,4,0.12412788,1.3736375,0.03897168,0.44730871,-0.03673476,0.11729909,0.16939693,1.66061499,0.5714418,1.08298456,0.87438574,-0.5714418,1.08917319
1961T1,1961,1,-0.25084867,1.1682859,-0.00394134,0.41277703,-0.04608716,0.16061394,0.19710725,0.92246458,0.53049608,0.3899001,0.18273288,-0.53049608,0.39196849999999994
1961T2,1961,2,0.01218318,1.48636253,0.06178485,0.59649099,-0.04328634,0.14462834,0.20116163,1.76774524,1.10234079,0.6581494,0.45042728,-1.10234079,0.66540445
1961T3,1961,3,1.12751361,1.52009156,0.12526072,0.72308492,-0.0401962,0.12785073,0.18779655,3.14010734,0.80967391,2.31171607,2.10058114,-0.80967391,2.3304334300000003
1961T4,1961,4,1.33828078,1.61220682,0.18403105,0.85188069,-0.03670538,0.11012725,0.17846616,3.66110056,0.97914987,2.65594501,2.44410016,-0.97914987,2.68195069
1962T1,1962,1,1.8990888,1.70302016,0.23790501,0.9670304500000002,-0.03322204,0.09289521,0.16859602,4.51233115,1.47052426,2.99772462,2.78517582,-1.47052426,3.0418068899999997
1962T2,1962,2,1.40637905,1.55025819,0.17399883,0.81284927,-0.04036284,0.10251858,0.14866517,3.65193874,1.05459106,2.57024213,2.35857414,-1.05459106,2.59734768
1962T3,1962,3,0.61321238,1.67279406,0.11612347,0.71672992,-0.04721379,0.11206034,0.14476849,2.81481721,0.60988954,2.19156156,1.98067459,-0.60988954,2.20492767
1962T4,1962,4,0.29516001,1.91607018,0.06261603,0.65167687,-0.05396773,0.12178605,0.14878674,2.60098257,0.7163666,1.87121124,1.6609858,-0.7163666,1.8846159700000003
1963T1,1963,1,0.82904753,1.79436215,0.01197626,1.23619257,-0.06044219,0.59690881,0.42990413,2.78432339,0.46264453,2.31098721,2.09985558,-0.46264453,2.32167886
1963T2,1963,2,0.16462044,2.08801992,0.02546842,0.74794555,-0.05163612,0.36497785,0.20799624,2.40144412,2.41267469,-0.010966,-0.2173073,-2.41267469,-0.01123056999999994
1963T3,1963,3,0.79128543,1.6087819,0.03836372,0.57117287,-0.04342456,-1.34541335,0.15241366,4.15917904,1.9839751,2.13288798,1.92212209,-1.9839751,2.1752039399999994
1963T4,1963,4,0.34174608,1.57322846,0.04978562,0.62622369,-0.03496948,1.28717657,0.1603504,1.10848739,0.72048622,0.38522567,0.17806678,-0.72048622,0.3880011700000001
1964T1,1964,1,0.53905185,1.55153575,0.06205158,0.60751394,-0.02793869,0.68752941,0.17558454,1.86910047,0.2145937,1.65096391,1.44119432,-0.2145937,1.65450677
1964T2,1964,2,0.47129981,1.29898973,0.06366834,0.68414754,-0.0305613,-0.30137467,0.11310825,2.67581054,0.55589579,2.10819537,1.89748088,-0.55589579,2.11991475
1964T3,1964,3,0.53230271,1.09433134,0.06469258,0.37862121,-0.03281836,1.0098787,0.09937112,0.92787965,0.78659042,0.14018653,-0.06646713,-0.78659042,0.14128922999999993
1964T4,1964,4,0.45255013,1.17082466,0.06675665,0.50418619,-0.03554209,-0.48053859,0.14313222,2.4961819,0.67317345,1.8108185,1.60071769,-0.67317345,1.82300845
1965T1,1965,1,0.56513784,0.81810724,0.06772492,0.61751038,-0.03762827,0.47614206,0.11478459,1.43992547,0.79466214,0.64017608,0.43249239,-0.79466214,0.6452633299999999
1965T2,1965,2,0.70140655,0.96203146,0.05701795,0.37634861,-0.0338727,-0.01610697,0.11675218,1.96228665,0.4239591,1.5318332,1.32230812,-0.4239591,1.53832755
1965T3,1965,3,0.75541915,0.96882704,0.04636255,0.3881124,-0.03006137,0.37982604,0.14275015,1.60608358,0.48667381,1.11398829,0.90532504,-0.48667381,1.1194097699999999
1965T4,1965,4,0.71548797,1.05788123,0.03622271,0.59647696,-0.02647668,0.01475096,0.10943776,2.25540346,0.89216657,1.35118209,1.14202981,-0.89216657,1.36323689
1966T1,1966,1,0.64706918,1.07954153,0.02622425,0.34561292,-0.02285178,0.36092433,0.14149969,1.57317209,1.0826195,0.48529865,0.27793456,-1.0826195,0.49055258999999984
1966T2,1966,2,0.73423481,1.13713406,0.05595941,0.44980108,-0.01533593,0.39825688,0.1710757,1.79246084,0.36921814,1.41800716,1.20871697,-0.36921814,1.4232426999999999
1966T3,1966,3,0.8191287,1.0327867,0.08458459,0.52081493,-0.00803008,-0.12611794,0.16216009,2.41324269,0.81294903,1.587389,1.37774882,-0.81294903,1.6002936600000002
1966T4,1966,4,0.63936004,1.14688187,0.11150428,0.47196489,-9.708500000000002e-4,-0.63722043,0.16054704,2.84541363,0.60548201,2.22645086,2.01549234,-0.60548201,2.23993162
1967T1,1967,1,0.90931667,1.24345501,0.1365322,0.49957968,0.00573595,0.76937019,0.2086372,1.81661211,1.05060537,0.7580427,0.55011577,-1.05060537,0.7660067399999999
1967T2,1967,2,0.77251831,0.70067663,0.12373824,0.46604944,-0.0162573,0.42639746,0.09094360000000001,1.52938426,0.67598381,0.84767034,0.63955712,-0.67598381,0.8534004500000001
1967T3,1967,3,0.64491289,0.93139276,0.11167238,0.45922545,-0.03757356,-1.25717694,0.05196411,3.31484274,0.72428157,2.57193313,2.3602612,-0.72428157,2.59056117
1967T4,1967,4,0.45883346,0.60391307,0.09821478,0.29388817,-0.05723739,0.47067937,0.25307703,0.67385569,1.05661242,-0.37875476,-0.58433707,-1.05661242,-0.38275673
1968T1,1968,1,0.26844213,1.5868844,0.08774888,0.47261984,-0.07758396,1.0604518,0.05334036,1.22431913,1.50948554,-0.28092587,-0.48670876,-1.50948554,-0.28516641
1968T2,1968,2,0.41578241,1.00144194,0.10329204,0.35691398,-0.07176345,0.4814181,-0.21355714,1.53780596,0.25002693,1.28456726,1.07555244,-0.25002693,1.28777903
1968T3,1968,3,1.0379036,5.41347927,0.11808068,2.16862145,-0.06586841,0.17643172,0.95678487,7.539,2.50093484,4.9151407,4.69863323,-2.50093484,5.0380651599999995
1968T4,1968,4,0.68251549,1.55073653,0.12500925,0.45684855,-0.05677961,-0.07501522,0.10123682,2.73210861,1.49286263,1.22101786,1.01213419,-1.49286263,1.23924598
1969T1,1969,1,0.53708492,1.15714517,0.13648687,0.55707193,-0.05091739,0.75078972,0.24964285,1.33643892,2.51895181,-1.15345785,-1.35744015,-2.51895181,-1.18251289
1969T2,1969,2,0.71936994,1.57394174,0.13098812,0.66862217,-0.05048075,0.04829642,0.18359812,2.81054669,1.20613204,1.58529391,1.3756585,-1.20613204,1.6044146499999998
1969T3,1969,3,0.8670995,1.54976677,0.12380965,0.35473962,-0.04932919,-0.26410773,0.15050573,2.95968835,1.26530897,1.67320812,1.46339084,-1.26530897,1.69437938
1969T4,1969,4,0.84562536,2.14828471,0.1167564,0.42349145,-0.04813305,0.74418458,0.08985639,2.6519839100000002,1.50827938,1.12671058,0.91802152,-1.50827938,1.1437045300000002
1970T1,1970,1,0.83133365,2.07649157,0.11033609,0.85582526,-0.04710569,-0.23967886,0.1828456,3.88371415,0.87953678,2.9779849,2.76547683,-0.87953678,3.00417737
