annee,ipc,rsa_socle,smic_net
2005,88.1,425.40,870.96
2006,89.6,433.06,896.89
2007,91.0,440.86,915.96
2008,93.6,447.91,948.43
2009,93.7,454.63,966.47
2010,95.1,460.09,970.23
2011,97.1,466.99,985.88
2012,99.0,474.93,1004.64
2013,99.9,483.24,1020.32
2014,100.4,499.31,1028.02
2015,100.0,513.88,1032.13
2016,100.2,524.68,1036.70
2017,101.2,536.78,1048.93
2018,103.0,550.93,1060.29
2019,104.1,559.74,1082.69
2020,104.6,564.78,1100.18
2021,106.3,565.34,1103.80
2022,112.1,575.52,1269.02
2023,117.3,607.75,1353.07
