annee,config,salaire_adulte1,salaire_adulte2,niveau_vie
2021,Couple mono-actif sans enfant,0,0,682.5221040340592
2021,Couple mono-actif sans enfant,0,31,682.5221040340592
2021,Couple mono-actif sans enfant,0,62,693.3629151451704
2021,Couple mono-actif sans enfant,0,92,703.5295818118369
2021,Couple mono-actif sans enfant,0,123,714.0351373673926
2021,Couple mono-actif sans enfant,0,154,724.5406929229481
2021,Couple mono-actif sans enfant,0,185,735.0462484785036
2021,Couple mono-actif sans enfant,0,215,745.2129151451702
2021,Couple mono-actif sans enfant,0,246,755.7184707007258
2021,Couple mono-actif sans enfant,0,277,766.2240262562813
2021,Couple mono-actif sans enfant,0,308,776.7295818118369
2021,Couple mono-actif sans enfant,0,339,787.2351373673926
2021,Couple mono-actif sans enfant,0,369,797.4018040340592
2021,Couple mono-actif sans enfant,0,400,807.9073595896148
2021,Couple mono-actif sans enfant,0,431,818.4129151451702
2021,Couple mono-actif sans enfant,0,462,828.9184707007258
2021,Couple mono-actif sans enfant,0,492,843.5295932270711
2021,Couple mono-actif sans enfant,0,523,859.7652915660979
2021,Couple mono-actif sans enfant,0,554,876.0009899051248
2021,Couple mono-actif sans enfant,0,585,892.2366882441515
2021,Couple mono-actif sans enfant,0,616,908.4723865831785
2021,Couple mono-actif sans enfant,0,646,924.1843527177207
2021,Couple mono-actif sans enfant,0,677,940.4200510567476
2021,Couple mono-actif sans enfant,0,708,956.4633911848101
2021,Couple mono-actif sans enfant,0,739,966.9892323864216
2021,Couple mono-actif sans enfant,0,769,977.1755303234653
2021,Couple mono-actif sans enfant,0,800,987.7013715250771
2021,Couple mono-actif sans enfant,0,831,998.2272127266889
2021,Couple mono-actif sans enfant,0,862,1008.7530539283006
2021,Couple mono-actif sans enfant,0,892,1018.9393518653441
2021,Couple mono-actif sans enfant,0,923,1029.465193066956
2021,Couple mono-actif sans enfant,0,954,1039.5795730480515
2021,Couple mono-actif sans enfant,0,985,1044.3752714661919
2021,Couple mono-actif sans enfant,0,1016,1049.1709698843324
2021,Couple mono-actif sans enfant,0,1046,1053.8119683535006
2021,Couple mono-actif sans enfant,0,1077,1058.6076667716409
2021,Couple mono-actif sans enfant,0,1108,1063.4033651897814
2021,Couple mono-actif sans enfant,0,1139,1068.1990636079217
2021,Couple mono-actif sans enfant,0,1169,1072.8400620770901
2021,Couple mono-actif sans enfant,0,1200,1077.6357604952304
2021,Couple mono-actif sans enfant,0,1231,1082.4314589133708
2021,Couple mono-actif sans enfant,300,0,774.0184707007259
2021,Couple mono-actif sans enfant,300,31,784.5240262562813
2021,Couple mono-actif sans enfant,300,62,795.0295818118369
2021,Couple mono-actif sans enfant,300,92,805.1962484785035
2021,Couple mono-actif sans enfant,300,123,815.701804034059
2021,Couple mono-actif sans enfant,300,154,826.2073595896146
2021,Couple mono-actif sans enfant,300,185,836.7129151451702
2021,Couple mono-actif sans enfant,300,215,846.8795818118369
2021,Couple mono-actif sans enfant,300,246,857.3851373673925
2021,Couple mono-actif sans enfant,300,277,867.890692922948
2021,Couple mono-actif sans enfant,300,308,878.3962484785036
2021,Couple mono-actif sans enfant,300,339,888.9018040340592
2021,Couple mono-actif sans enfant,300,369,899.0684707007258
2021,Couple mono-actif sans enfant,300,400,909.5740262562814
2021,Couple mono-actif sans enfant,300,431,915.6508779827903
2021,Couple mono-actif sans enfant,300,462,920.4465764009308
2021,Couple mono-actif sans enfant,300,492,929.5320307297776
2021,Couple mono-actif sans enfant,300,523,940.0578719313892
2021,Couple mono-actif sans enfant,300,554,950.5837131330011
2021,Couple mono-actif sans enfant,300,585,961.1095543346129
2021,Couple mono-actif sans enfant,300,616,971.6353955362246
2021,Couple mono-actif sans enfant,300,646,981.8216934732682
2021,Couple mono-actif sans enfant,300,677,992.34753467488
2021,Couple mono-actif sans enfant,300,708,1002.8733758764919
2021,Couple mono-actif sans enfant,300,739,1013.3992170781033
2021,Couple mono-actif sans enfant,300,769,1023.5855150151472
2021,Couple mono-actif sans enfant,300,800,1034.1113562167588
2021,Couple mono-actif sans enfant,300,831,1044.6371974183705
2021,Couple mono-actif sans enfant,300,862,1055.1630386199822
2021,Couple mono-actif sans enfant,300,892,1065.349336557026
2021,Couple mono-actif sans enfant,300,923,1075.8751777586378
2021,Couple mono-actif sans enfant,300,954,1085.9895577397333
2021,Couple mono-actif sans enfant,300,985,1090.7852561578736
2021,Couple mono-actif sans enfant,300,1016,1095.5809545760142
2021,Couple mono-actif sans enfant,300,1046,1100.2219530451823
