annee,Taux d'emploi (%),Taux de pauvreté (%)
2005,67.39092860683584,12.223619671449846
2006,67.69154354543377,12.255935636473906
2007,68.66814721526627,12.51573798652715
2008,68.6909331337139,12.132210716732393
2009,67.1163235170203,12.674919287219534
2010,67.15976761702356,13.016460312713207
2011,67.47205222906938,13.129923572807085
2012,67.25993688569181,13.003812237623029
2013,67.50860877360343,12.705471371213806
2014,67.86224630311052,12.820412136466048
2015,68.04721649836821,12.891277007343199
2016,68.47695991262385,12.732778198304041
2017,69.67169050201088,12.81204746065288
2018,69.84374575661354,13.435048775641029
2019,70.5712246499003,13.365528570788863
2020,69.82905155360014,12.614684893348352
2021,72.41398334365715,13.149361665115842
2022,73.1928206429567,13.197178111478529
2023,73.3080169068846,14.072735587600587
