annee,Seuil relatif (médiane courante),Seuil ancré (pouvoir d'achat 2005)
2005,8.815799460813391,8.815799460813391
2006,8.661423892720006,8.289947534334377
2007,9.084031339958475,7.947952100501329
2008,8.936564774487907,7.654426053452721
2009,8.80263771868469,7.459588564632873
2010,8.998040366639854,7.517454163053916
2011,9.63036734440942,8.244506708607812
2012,9.741843984356406,8.541417840957775
2013,9.186318719888753,8.145192743291176
2014,9.198183815053271,7.99685490001512
2015,9.534737874937889,8.11817511766776
2016,9.41824967531918,7.628259836314577
2017,10.100131192953253,8.298056295732557
2018,10.248111055131446,8.397109182103724
2019,10.015316118363481,7.578660411368348
2020,9.390777078456667,6.577832861767449
2021,8.719918363812605,5.7081298734481045
2022,9.233827608158474,6.315904407361146
2023,9.78386955785375,6.38387845497856
