annee,Seul·e sans enfant,Parent seul avec enfant(s),Couple bi-actif avec enf.,Couple mono-actif sans enfant,Couple mono-actif avec enf.
2005,10.620215972289634,7.978305614489472,2.8562195263610937,15.357812776499735,11.855146883209935
2006,9.98227822411836,7.820975126169371,2.952455075254747,15.315042021459526,9.787690588707754
2007,9.907388162636211,8.290842601093026,3.6008410598949103,16.804127373676522,9.461617856504466
2008,10.450017944543559,7.514256154337705,3.3846206621373494,16.909164264710693,11.513154521120343
2009,9.904551651098057,7.739004309218308,3.4370873651656297,16.674010400531756,10.101782973879512
2010,10.200996492985164,8.31167384059114,2.7212890698595067,17.14154345836358,8.45218972744389
2011,11.2041680534794,8.510005948804418,3.2203215010703934,17.71494334944341,9.646923566330756
2012,10.79870411983829,7.917858086612123,3.1766337986802045,20.31874048045235,10.859177062399871
2013,9.991551556922628,7.9137361482362865,3.299580251627259,17.762611183289184,10.4170908945471
2014,10.562979954373247,7.530144311274276,3.155986316375266,17.916915960948796,9.815168847939681
2015,10.905702702963831,8.094012248320007,2.7395865150210903,17.337328085846078,10.424809811663888
2016,11.16616810230011,7.557524950754373,4.047843577779783,16.980501855649145,10.942732611723631
2017,12.021141143519612,8.084044694286868,3.3654974892254876,18.011112663398933,12.313822736924589
2018,11.661540175673755,8.275207885286154,3.321749182864703,19.34427496948895,11.583112558237517
2019,12.140602479770614,8.104670658839286,3.4002826303605316,17.232248806641795,9.501990802071758
2020,10.971421491367021,8.161418177944508,2.924654979903529,14.916982612291436,9.119440163117423
2021,9.180472401614143,8.232979406139494,2.6304460760079245,15.415892105021287,7.486415150138728
2022,10.011277934288822,8.689584061729645,2.9946456182085646,15.781295616002435,8.650621694582052
2023,10.007238540079982,9.168461669377054,2.832179357261183,17.917400031740446,9.049607306651053
