Configuration,APL,Prestations familiales,Enveloppe activité,Minima sociaux
Couple avec enfant(s) / Bi-actif,0.18416362398952016,0.01974904973663129,0.35835977768185234,0.026901221163854946
Famille monoparentale (bi-active),0.35326839828280776,2.2828174266073384,0.6655998217350085,0.09949713739078256
Autre / Bi-actif,0.8278311881102923,6.17670779679107,1.2673824003816294,0.6720152650609268
Personne seule,1.4872372421748117,0.06485292064850462,1.7535352885895736,0.31828280515118074
Couple sans enfant (mono-actif),4.61949460163186,6.803212444350848,5.720710796491516,1.4319725411296917
Couple avec enfants (mono-actif),0.5013138575673814,0.17191735005099018,0.763612111896203,0.18844411793428606
Famille monoparentale (mono-active),3.3601252202327543,10.213488963708341,4.609594502598288,0.9669826115583174
Autre / Mono-actif,1.9291696558243614,2.1230502997389653,2.028458688109891,1.9725341657603312
Couple sans enfant / Sans emploi,2.1024221598388597,0,0,11.767551080456732
Couple avec enfant(s) / Sans emploi,2.3289975750334118,0,2.3289975750334118,2.3289975750334118
Famille monoparentale / Sans emploi,1.9780040803781693,1.9780040803781693,3.7128945326535905,0
Autre / Sans emploi,0,0,1.770023478522567,6.0113048154957385
